chrom	start	end	coverage	sample
chr7	26704000	26706000	1.87	GM12878_CTCF
chr7	26706000	26708000	1.84	GM12878_CTCF
chr7	26708000	26710000	2.18	GM12878_CTCF
chr7	26710000	26712000	1.79	GM12878_CTCF
chr7	26712000	26714000	2.2	GM12878_CTCF
chr7	26714000	26716000	1.91	GM12878_CTCF
chr7	26716000	26718000	2.3	GM12878_CTCF
chr7	26718000	26720000	2.12	GM12878_CTCF
chr7	26720000	26722000	1.83	GM12878_CTCF
chr7	26722000	26724000	2.2	GM12878_CTCF
chr7	26724000	26726000	2.14	GM12878_CTCF
chr7	26726000	26728000	2.01	GM12878_CTCF
chr7	26728000	26730000	2.0	GM12878_CTCF
chr7	26730000	26732000	2.17	GM12878_CTCF
chr7	26732000	26734000	1.73	GM12878_CTCF
chr7	26734000	26736000	1.75	GM12878_CTCF
chr7	26736000	26738000	2.1	GM12878_CTCF
chr7	26738000	26740000	1.91	GM12878_CTCF
chr7	26740000	26742000	2.2	GM12878_CTCF
chr7	26742000	26744000	1.71	GM12878_CTCF
chr7	26744000	26746000	2.05	GM12878_CTCF
chr7	26746000	26748000	2.1	GM12878_CTCF
chr7	26748000	26750000	1.74	GM12878_CTCF
chr7	26750000	26752000	1.87	GM12878_CTCF
chr7	26752000	26754000	2.06	GM12878_CTCF
chr7	26754000	26756000	2.03	GM12878_CTCF
chr7	26756000	26758000	1.72	GM12878_CTCF
chr7	26758000	26760000	1.95	GM12878_CTCF
chr7	26760000	26762000	2.22	GM12878_CTCF
chr7	26762000	26764000	1.72	GM12878_CTCF
chr7	26764000	26766000	1.89	GM12878_CTCF
chr7	26766000	26768000	1.83	GM12878_CTCF
chr7	26768000	26770000	1.81	GM12878_CTCF
chr7	26770000	26772000	2.24	GM12878_CTCF
chr7	26772000	26774000	1.97	GM12878_CTCF
chr7	26774000	26776000	2.13	GM12878_CTCF
chr7	26776000	26778000	1.82	GM12878_CTCF
chr7	26778000	26780000	1.72	GM12878_CTCF
chr7	26780000	26782000	1.92	GM12878_CTCF
chr7	26782000	26784000	2.06	GM12878_CTCF
chr7	26784000	26786000	1.83	GM12878_CTCF
chr7	26786000	26788000	2.26	GM12878_CTCF
chr7	26788000	26790000	1.91	GM12878_CTCF
chr7	26790000	26792000	1.98	GM12878_CTCF
chr7	26792000	26794000	2.27	GM12878_CTCF
chr7	26794000	26796000	2.21	GM12878_CTCF
chr7	26796000	26798000	2.22	GM12878_CTCF
chr7	26798000	26800000	1.84	GM12878_CTCF
chr7	26800000	26802000	1.95	GM12878_CTCF
chr7	26802000	26804000	1.91	GM12878_CTCF
chr7	26804000	26806000	2.24	GM12878_CTCF
chr7	26806000	26808000	1.94	GM12878_CTCF
chr7	26808000	26810000	2.28	GM12878_CTCF
chr7	26810000	26812000	1.97	GM12878_CTCF
chr7	26812000	26814000	2.17	GM12878_CTCF
chr7	26814000	26816000	2.02	GM12878_CTCF
chr7	26816000	26818000	2.29	GM12878_CTCF
chr7	26818000	26820000	2.04	GM12878_CTCF
chr7	26820000	26822000	2.27	GM12878_CTCF
chr7	26822000	26824000	1.7	GM12878_CTCF
chr7	26824000	26826000	1.97	GM12878_CTCF
chr7	26826000	26828000	2.18	GM12878_CTCF
chr7	26828000	26830000	2.11	GM12878_CTCF
chr7	26830000	26832000	1.73	GM12878_CTCF
chr7	26832000	26834000	1.84	GM12878_CTCF
chr7	26834000	26836000	1.89	GM12878_CTCF
chr7	26836000	26838000	1.92	GM12878_CTCF
chr7	26838000	26840000	2.27	GM12878_CTCF
chr7	26840000	26842000	1.8	GM12878_CTCF
chr7	26842000	26844000	1.74	GM12878_CTCF
chr7	26844000	26846000	1.73	GM12878_CTCF
chr7	26846000	26848000	1.92	GM12878_CTCF
chr7	26848000	26850000	1.7	GM12878_CTCF
chr7	26850000	26852000	1.99	GM12878_CTCF
chr7	26852000	26854000	1.76	GM12878_CTCF
chr7	26854000	26856000	2.17	GM12878_CTCF
chr7	26856000	26858000	2.0	GM12878_CTCF
chr7	26858000	26860000	2.05	GM12878_CTCF
chr7	26860000	26862000	1.92	GM12878_CTCF
chr7	26862000	26864000	1.89	GM12878_CTCF
chr7	26864000	26866000	2.26	GM12878_CTCF
chr7	26866000	26868000	2.18	GM12878_CTCF
chr7	26868000	26870000	1.78	GM12878_CTCF
chr7	26870000	26872000	1.85	GM12878_CTCF
chr7	26872000	26874000	1.73	GM12878_CTCF
chr7	26874000	26876000	2.09	GM12878_CTCF
chr7	26876000	26878000	4.4	GM12878_CTCF
chr7	26878000	26880000	28.7	GM12878_CTCF
chr7	26880000	26882000	3.43	GM12878_CTCF
chr7	26882000	26884000	2.13	GM12878_CTCF
chr7	26884000	26886000	1.85	GM12878_CTCF
chr7	26886000	26888000	2.15	GM12878_CTCF
chr7	26888000	26890000	1.83	GM12878_CTCF
chr7	26890000	26892000	1.95	GM12878_CTCF
chr7	26892000	26894000	1.87	GM12878_CTCF
chr7	26894000	26896000	2.16	GM12878_CTCF
chr7	26896000	26898000	2.29	GM12878_CTCF
chr7	26898000	26900000	1.73	GM12878_CTCF
chr7	26900000	26902000	2.23	GM12878_CTCF
chr7	26902000	26904000	1.78	GM12878_CTCF
chr7	26904000	26906000	1.79	GM12878_CTCF
chr7	26906000	26908000	1.71	GM12878_CTCF
chr7	26908000	26910000	1.79	GM12878_CTCF
chr7	26910000	26912000	1.87	GM12878_CTCF
chr7	26912000	26914000	1.94	GM12878_CTCF
chr7	26914000	26916000	2.06	GM12878_CTCF
chr7	26916000	26918000	2.15	GM12878_CTCF
chr7	26918000	26920000	1.92	GM12878_CTCF
chr7	26920000	26922000	2.02	GM12878_CTCF
chr7	26922000	26924000	2.11	GM12878_CTCF
chr7	26924000	26926000	2.04	GM12878_CTCF
chr7	26926000	26928000	1.93	GM12878_CTCF
chr7	26928000	26930000	1.87	GM12878_CTCF
chr7	26930000	26932000	2.11	GM12878_CTCF
chr7	26932000	26934000	2.06	GM12878_CTCF
chr7	26934000	26936000	1.88	GM12878_CTCF
chr7	26936000	26938000	1.78	GM12878_CTCF
chr7	26938000	26940000	1.89	GM12878_CTCF
chr7	26940000	26942000	2.29	GM12878_CTCF
chr7	26942000	26944000	2.24	GM12878_CTCF
chr7	26944000	26946000	2.24	GM12878_CTCF
chr7	26946000	26948000	1.98	GM12878_CTCF
chr7	26948000	26950000	1.72	GM12878_CTCF
chr7	26950000	26952000	1.76	GM12878_CTCF
chr7	26952000	26954000	1.74	GM12878_CTCF
chr7	26954000	26956000	1.78	GM12878_CTCF
chr7	26956000	26958000	1.79	GM12878_CTCF
chr7	26958000	26960000	1.95	GM12878_CTCF
chr7	26960000	26962000	1.95	GM12878_CTCF
chr7	26962000	26964000	1.82	GM12878_CTCF
chr7	26964000	26966000	2.33	GM12878_CTCF
chr7	26966000	26968000	15.14	GM12878_CTCF
chr7	26968000	26970000	15.96	GM12878_CTCF
chr7	26970000	26972000	2.17	GM12878_CTCF
chr7	26972000	26974000	2.12	GM12878_CTCF
chr7	26974000	26976000	2.14	GM12878_CTCF
chr7	26976000	26978000	2.22	GM12878_CTCF
chr7	26978000	26980000	1.84	GM12878_CTCF
chr7	26980000	26982000	2.28	GM12878_CTCF
chr7	26982000	26984000	2.0	GM12878_CTCF
chr7	26984000	26986000	1.88	GM12878_CTCF
chr7	26986000	26988000	1.85	GM12878_CTCF
chr7	26988000	26990000	2.16	GM12878_CTCF
chr7	26990000	26992000	1.9	GM12878_CTCF
chr7	26992000	26994000	1.91	GM12878_CTCF
chr7	26994000	26996000	2.06	GM12878_CTCF
chr7	26996000	26998000	2.16	GM12878_CTCF
chr7	26998000	27000000	1.85	GM12878_CTCF
chr7	27000000	27002000	2.03	GM12878_CTCF
chr7	27002000	27004000	1.9	GM12878_CTCF
chr7	27004000	27006000	1.75	GM12878_CTCF
chr7	27006000	27008000	2.12	GM12878_CTCF
chr7	27008000	27010000	1.99	GM12878_CTCF
chr7	27010000	27012000	2.25	GM12878_CTCF
chr7	27012000	27014000	1.85	GM12878_CTCF
chr7	27014000	27016000	2.13	GM12878_CTCF
chr7	27016000	27018000	1.99	GM12878_CTCF
chr7	27018000	27020000	1.94	GM12878_CTCF
chr7	27020000	27022000	2.12	GM12878_CTCF
chr7	27022000	27024000	2.12	GM12878_CTCF
chr7	27024000	27026000	2.08	GM12878_CTCF
chr7	27026000	27028000	2.21	GM12878_CTCF
chr7	27028000	27030000	1.91	GM12878_CTCF
chr7	27030000	27032000	2.03	GM12878_CTCF
chr7	27032000	27034000	1.91	GM12878_CTCF
chr7	27034000	27036000	2.06	GM12878_CTCF
chr7	27036000	27038000	1.94	GM12878_CTCF
chr7	27038000	27040000	1.75	GM12878_CTCF
chr7	27040000	27042000	1.93	GM12878_CTCF
chr7	27042000	27044000	2.14	GM12878_CTCF
chr7	27044000	27046000	2.07	GM12878_CTCF
chr7	27046000	27048000	1.73	GM12878_CTCF
chr7	27048000	27050000	2.02	GM12878_CTCF
chr7	27050000	27052000	2.11	GM12878_CTCF
chr7	27052000	27054000	1.91	GM12878_CTCF
chr7	27054000	27056000	2.21	GM12878_CTCF
chr7	27056000	27058000	2.19	GM12878_CTCF
chr7	27058000	27060000	1.87	GM12878_CTCF
chr7	27060000	27062000	1.7	GM12878_CTCF
chr7	27062000	27064000	1.77	GM12878_CTCF
chr7	27064000	27066000	2.06	GM12878_CTCF
chr7	27066000	27068000	2.29	GM12878_CTCF
chr7	27068000	27070000	2.16	GM12878_CTCF
chr7	27070000	27072000	2.03	GM12878_CTCF
chr7	27072000	27074000	1.73	GM12878_CTCF
chr7	27074000	27076000	1.94	GM12878_CTCF
chr7	27076000	27078000	1.74	GM12878_CTCF
chr7	27078000	27080000	2.24	GM12878_CTCF
chr7	27080000	27082000	1.77	GM12878_CTCF
chr7	27082000	27084000	1.84	GM12878_CTCF
chr7	27084000	27086000	2.06	GM12878_CTCF
chr7	27086000	27088000	1.8	GM12878_CTCF
chr7	27088000	27090000	6.51	GM12878_CTCF
chr7	27090000	27092000	80.81	GM12878_CTCF
chr7	27092000	27094000	8.08	GM12878_CTCF
chr7	27094000	27096000	2.0	GM12878_CTCF
chr7	27096000	27098000	2.28	GM12878_CTCF
chr7	27098000	27100000	2.06	GM12878_CTCF
chr7	27100000	27102000	1.74	GM12878_CTCF
chr7	27102000	27104000	2.18	GM12878_CTCF
chr7	27104000	27106000	2.05	GM12878_CTCF
chr7	27106000	27108000	1.85	GM12878_CTCF
chr7	27108000	27110000	1.82	GM12878_CTCF
chr7	27110000	27112000	2.14	GM12878_CTCF
chr7	27112000	27114000	1.82	GM12878_CTCF
chr7	27114000	27116000	1.95	GM12878_CTCF
chr7	27116000	27118000	1.81	GM12878_CTCF
chr7	27118000	27120000	1.89	GM12878_CTCF
chr7	27120000	27122000	2.14	GM12878_CTCF
chr7	27122000	27124000	1.79	GM12878_CTCF
chr7	27124000	27126000	1.85	GM12878_CTCF
chr7	27126000	27128000	1.72	GM12878_CTCF
chr7	27128000	27130000	1.74	GM12878_CTCF
chr7	27130000	27132000	2.28	GM12878_CTCF
chr7	27132000	27134000	1.81	GM12878_CTCF
chr7	27134000	27136000	1.76	GM12878_CTCF
chr7	27136000	27138000	1.97	GM12878_CTCF
chr7	27138000	27140000	1.98	GM12878_CTCF
chr7	27140000	27142000	1.82	GM12878_CTCF
chr7	27142000	27144000	1.94	GM12878_CTCF
chr7	27144000	27146000	1.9	GM12878_CTCF
chr7	27146000	27148000	1.98	GM12878_CTCF
chr7	27148000	27150000	1.96	GM12878_CTCF
chr7	27150000	27152000	2.28	GM12878_CTCF
chr7	27152000	27154000	2.07	GM12878_CTCF
chr7	27154000	27156000	2.06	GM12878_CTCF
chr7	27156000	27158000	2.29	GM12878_CTCF
chr7	27158000	27160000	2.18	GM12878_CTCF
chr7	27160000	27162000	1.92	GM12878_CTCF
chr7	27162000	27164000	2.05	GM12878_CTCF
chr7	27164000	27166000	2.06	GM12878_CTCF
chr7	27166000	27168000	2.17	GM12878_CTCF
chr7	27168000	27170000	1.81	GM12878_CTCF
chr7	27170000	27172000	1.76	GM12878_CTCF
chr7	27172000	27174000	2.14	GM12878_CTCF
chr7	27174000	27176000	2.28	GM12878_CTCF
chr7	27176000	27178000	2.32	GM12878_CTCF
chr7	27178000	27180000	16.25	GM12878_CTCF
chr7	27180000	27182000	6.58	GM12878_CTCF
chr7	27182000	27184000	2.15	GM12878_CTCF
chr7	27184000	27186000	1.84	GM12878_CTCF
chr7	27186000	27188000	1.82	GM12878_CTCF
chr7	27188000	27190000	2.22	GM12878_CTCF
chr7	27190000	27192000	2.23	GM12878_CTCF
chr7	27192000	27194000	2.09	GM12878_CTCF
chr7	27194000	27196000	2.14	GM12878_CTCF
chr7	27196000	27198000	2.13	GM12878_CTCF
chr7	27198000	27200000	2.22	GM12878_CTCF
chr7	27200000	27202000	2.2	GM12878_CTCF
chr7	27202000	27204000	1.76	GM12878_CTCF
chr7	27204000	27206000	1.95	GM12878_CTCF
chr7	27206000	27208000	1.74	GM12878_CTCF
chr7	27208000	27210000	1.99	GM12878_CTCF
chr7	27210000	27212000	2.11	GM12878_CTCF
chr7	27212000	27214000	2.29	GM12878_CTCF
chr7	27214000	27216000	2.09	GM12878_CTCF
chr7	27216000	27218000	2.19	GM12878_CTCF
chr7	27218000	27220000	1.79	GM12878_CTCF
chr7	27220000	27222000	1.74	GM12878_CTCF
chr7	27222000	27224000	1.94	GM12878_CTCF
chr7	27224000	27226000	1.81	GM12878_CTCF
chr7	27226000	27228000	1.98	GM12878_CTCF
chr7	27228000	27230000	2.14	GM12878_CTCF
chr7	27230000	27232000	2.15	GM12878_CTCF
chr7	27232000	27234000	2.09	GM12878_CTCF
chr7	27234000	27236000	2.02	GM12878_CTCF
chr7	27236000	27238000	2.19	GM12878_CTCF
chr7	27238000	27240000	1.73	GM12878_CTCF
chr7	27240000	27242000	1.9	GM12878_CTCF
chr7	27242000	27244000	2.15	GM12878_CTCF
chr7	27244000	27246000	2.06	GM12878_CTCF
chr7	27246000	27248000	2.11	GM12878_CTCF
chr7	27248000	27250000	1.98	GM12878_CTCF
chr7	27250000	27252000	1.86	GM12878_CTCF
chr7	27252000	27254000	2.0	GM12878_CTCF
chr7	27254000	27256000	1.9	GM12878_CTCF
chr7	27256000	27258000	2.25	GM12878_CTCF
chr7	27258000	27260000	5.94	GM12878_CTCF
chr7	27260000	27262000	57.94	GM12878_CTCF
chr7	27262000	27264000	5.81	GM12878_CTCF
chr7	27264000	27266000	1.71	GM12878_CTCF
chr7	27266000	27268000	2.25	GM12878_CTCF
chr7	27268000	27270000	1.81	GM12878_CTCF
chr7	27270000	27272000	25.73	GM12878_CTCF
chr7	27272000	27274000	26.91	GM12878_CTCF
chr7	27274000	27276000	1.88	GM12878_CTCF
chr7	27276000	27278000	1.85	GM12878_CTCF
chr7	27278000	27280000	1.8	GM12878_CTCF
chr7	27280000	27282000	1.97	GM12878_CTCF
chr7	27282000	27284000	2.02	GM12878_CTCF
chr7	27284000	27286000	2.3	GM12878_CTCF
chr7	27286000	27288000	2.19	GM12878_CTCF
chr7	27288000	27290000	2.09	GM12878_CTCF
chr7	27290000	27292000	1.74	GM12878_CTCF
chr7	27292000	27294000	2.22	GM12878_CTCF
chr7	27294000	27296000	2.07	GM12878_CTCF
chr7	27296000	27298000	1.94	GM12878_CTCF
chr7	27298000	27300000	1.82	GM12878_CTCF
chr7	27300000	27302000	2.15	GM12878_CTCF
chr7	27302000	27304000	2.24	GM12878_CTCF
chr7	27304000	27306000	1.75	GM12878_CTCF
chr7	27306000	27308000	1.91	GM12878_CTCF
chr7	27308000	27310000	1.82	GM12878_CTCF
chr7	27310000	27312000	1.75	GM12878_CTCF
chr7	27312000	27314000	2.18	GM12878_CTCF
chr7	27314000	27316000	2.29	GM12878_CTCF
chr7	27316000	27318000	2.1	GM12878_CTCF
chr7	27318000	27320000	2.23	GM12878_CTCF
chr7	27320000	27322000	1.99	GM12878_CTCF
chr7	27322000	27324000	1.81	GM12878_CTCF
chr7	27324000	27326000	2.01	GM12878_CTCF
chr7	27326000	27328000	1.84	GM12878_CTCF
chr7	27328000	27330000	2.37	GM12878_CTCF
chr7	27330000	27332000	17.15	GM12878_CTCF
chr7	27332000	27334000	10.6	GM12878_CTCF
chr7	27334000	27336000	2.05	GM12878_CTCF
chr7	27336000	27338000	1.78	GM12878_CTCF
chr7	27338000	27340000	2.15	GM12878_CTCF
chr7	27340000	27342000	1.98	GM12878_CTCF
chr7	27342000	27344000	2.02	GM12878_CTCF
chr7	27344000	27346000	2.07	GM12878_CTCF
chr7	27346000	27348000	2.13	GM12878_CTCF
chr7	27348000	27350000	2.01	GM12878_CTCF
chr7	27350000	27352000	2.17	GM12878_CTCF
chr7	27352000	27354000	2.23	GM12878_CTCF
chr7	27354000	27356000	1.95	GM12878_CTCF
chr7	27356000	27358000	1.97	GM12878_CTCF
chr7	27358000	27360000	2.03	GM12878_CTCF
chr7	27360000	27362000	2.28	GM12878_CTCF
chr7	27362000	27364000	2.04	GM12878_CTCF
chr7	27364000	27366000	2.23	GM12878_CTCF
chr7	27366000	27368000	1.88	GM12878_CTCF
chr7	27368000	27370000	1.75	GM12878_CTCF
chr7	27370000	27372000	2.0	GM12878_CTCF
chr7	27372000	27374000	1.75	GM12878_CTCF
chr7	27374000	27376000	2.2	GM12878_CTCF
chr7	27376000	27378000	1.93	GM12878_CTCF
chr7	27378000	27380000	2.19	GM12878_CTCF
chr7	27380000	27382000	1.72	GM12878_CTCF
chr7	27382000	27384000	1.95	GM12878_CTCF
chr7	27384000	27386000	2.16	GM12878_CTCF
chr7	27386000	27388000	1.82	GM12878_CTCF
chr7	27388000	27390000	1.95	GM12878_CTCF
chr7	27390000	27392000	1.93	GM12878_CTCF
chr7	27392000	27394000	1.98	GM12878_CTCF
chr7	27394000	27396000	2.03	GM12878_CTCF
chr7	27396000	27398000	2.1	GM12878_CTCF
chr7	27398000	27400000	1.82	GM12878_CTCF
chr7	27400000	27402000	2.16	GM12878_CTCF
chr7	27402000	27404000	2.07	GM12878_CTCF
chr7	27404000	27406000	2.29	GM12878_CTCF
chr7	27406000	27408000	2.02	GM12878_CTCF
chr7	27408000	27410000	1.76	GM12878_CTCF
chr7	27410000	27412000	2.15	GM12878_CTCF
chr7	27412000	27414000	1.78	GM12878_CTCF
chr7	27414000	27416000	1.89	GM12878_CTCF
chr7	27416000	27418000	1.77	GM12878_CTCF
chr7	27418000	27420000	1.77	GM12878_CTCF
chr7	27420000	27422000	2.24	GM12878_CTCF
chr7	27422000	27424000	2.25	GM12878_CTCF
chr7	27424000	27426000	2.11	GM12878_CTCF
chr7	27426000	27428000	1.89	GM12878_CTCF
chr7	27428000	27430000	2.18	GM12878_CTCF
chr7	27430000	27432000	1.84	GM12878_CTCF
chr7	27432000	27434000	1.72	GM12878_CTCF
chr7	27434000	27436000	2.2	GM12878_CTCF
chr7	27436000	27438000	2.17	GM12878_CTCF
chr7	27438000	27440000	2.03	GM12878_CTCF
chr7	27440000	27442000	2.25	GM12878_CTCF
chr7	27442000	27444000	2.23	GM12878_CTCF
chr7	27444000	27446000	1.88	GM12878_CTCF
chr7	27446000	27448000	1.7	GM12878_CTCF
chr7	27448000	27450000	1.97	GM12878_CTCF
chr7	27450000	27452000	1.73	GM12878_CTCF
chr7	27452000	27454000	1.89	GM12878_CTCF
chr7	27454000	27456000	1.95	GM12878_CTCF
chr7	27456000	27458000	2.22	GM12878_CTCF
chr7	27458000	27460000	2.24	GM12878_CTCF
chr7	27460000	27462000	1.73	GM12878_CTCF
chr7	27462000	27464000	2.23	GM12878_CTCF
chr7	27464000	27466000	2.29	GM12878_CTCF
chr7	27466000	27468000	1.86	GM12878_CTCF
chr7	27468000	27470000	2.1	GM12878_CTCF
chr7	27470000	27472000	1.98	GM12878_CTCF
chr7	27472000	27474000	1.8	GM12878_CTCF
chr7	27474000	27476000	2.19	GM12878_CTCF
chr7	27476000	27478000	2.17	GM12878_CTCF
chr7	27478000	27480000	2.04	GM12878_CTCF
chr7	27480000	27482000	2.0	GM12878_CTCF
chr7	27482000	27484000	1.74	GM12878_CTCF
chr7	27484000	27486000	2.21	GM12878_CTCF
chr7	27486000	27488000	2.3	GM12878_CTCF
chr7	27488000	27490000	1.76	GM12878_CTCF
chr7	27490000	27492000	2.18	GM12878_CTCF
chr7	27492000	27494000	2.16	GM12878_CTCF
chr7	27494000	27496000	2.2	GM12878_CTCF
chr7	27496000	27498000	2.08	GM12878_CTCF
chr7	27498000	27500000	2.01	GM12878_CTCF
chr7	27500000	27502000	1.88	GM12878_CTCF
chr7	27502000	27504000	2.14	GM12878_CTCF
chr7	27504000	27506000	2.05	GM12878_CTCF
chr7	27506000	27508000	1.73	GM12878_CTCF
chr7	27508000	27510000	1.91	GM12878_CTCF
chr7	27510000	27512000	1.86	GM12878_CTCF
chr7	27512000	27514000	1.71	GM12878_CTCF
chr7	27514000	27516000	1.96	GM12878_CTCF
chr7	27516000	27518000	2.16	GM12878_CTCF
chr7	27518000	27520000	1.94	GM12878_CTCF
chr7	27520000	27522000	1.96	GM12878_CTCF
chr7	27522000	27524000	2.07	GM12878_CTCF
chr7	27524000	27526000	1.73	GM12878_CTCF
chr7	27526000	27528000	1.95	GM12878_CTCF
chr7	27528000	27530000	1.72	GM12878_CTCF
chr7	27530000	27532000	1.92	GM12878_CTCF
chr7	27532000	27534000	2.3	GM12878_CTCF
chr7	27534000	27536000	1.86	GM12878_CTCF
chr7	27536000	27538000	1.92	GM12878_CTCF
chr7	27538000	27540000	1.93	GM12878_CTCF
chr7	27540000	27542000	2.14	GM12878_CTCF
chr7	27542000	27544000	1.78	GM12878_CTCF
chr7	27544000	27546000	1.76	GM12878_CTCF
chr7	27546000	27548000	2.0	GM12878_CTCF
chr7	27548000	27550000	2.03	GM12878_CTCF
chr7	27550000	27552000	1.87	GM12878_CTCF
chr7	27552000	27554000	1.94	GM12878_CTCF
chr7	27554000	27556000	2.07	GM12878_CTCF
chr7	27556000	27558000	2.13	GM12878_CTCF
chr7	27558000	27560000	1.78	GM12878_CTCF
chr7	27560000	27562000	2.24	GM12878_CTCF
chr7	27562000	27564000	1.73	GM12878_CTCF
chr7	27564000	27566000	2.09	GM12878_CTCF
chr7	27566000	27568000	1.84	GM12878_CTCF
chr7	27568000	27570000	1.8	GM12878_CTCF
chr7	27570000	27572000	2.23	GM12878_CTCF
chr7	27572000	27574000	2.12	GM12878_CTCF
chr7	27574000	27576000	2.28	GM12878_CTCF
chr7	27576000	27578000	2.22	GM12878_CTCF
chr7	27578000	27580000	1.99	GM12878_CTCF
chr7	27580000	27582000	1.72	GM12878_CTCF
chr7	27582000	27584000	2.12	GM12878_CTCF
chr7	27584000	27586000	2.09	GM12878_CTCF
chr7	27586000	27588000	2.29	GM12878_CTCF
chr7	27588000	27590000	1.88	GM12878_CTCF
chr7	27590000	27592000	2.2	GM12878_CTCF
chr7	27592000	27594000	2.08	GM12878_CTCF
chr7	27594000	27596000	1.99	GM12878_CTCF
chr7	27596000	27598000	1.87	GM12878_CTCF
chr7	27598000	27600000	1.81	GM12878_CTCF
chr7	27600000	27602000	2.29	GM12878_CTCF
chr7	27602000	27604000	2.07	GM12878_CTCF
chr7	27604000	27606000	2.14	GM12878_CTCF
chr7	27606000	27608000	1.85	GM12878_CTCF
chr7	27608000	27610000	2.21	GM12878_CTCF
chr7	27610000	27612000	1.79	GM12878_CTCF
chr7	27612000	27614000	1.79	GM12878_CTCF
chr7	27614000	27616000	1.98	GM12878_CTCF
chr7	27616000	27618000	1.94	GM12878_CTCF
chr7	27618000	27620000	1.95	GM12878_CTCF
chr7	27620000	27622000	2.2	GM12878_CTCF
chr7	27622000	27624000	1.94	GM12878_CTCF
chr7	27624000	27626000	1.74	GM12878_CTCF
chr7	27626000	27628000	1.96	GM12878_CTCF
chr7	27628000	27630000	1.95	GM12878_CTCF
chr7	27630000	27632000	2.3	GM12878_CTCF
chr7	27632000	27634000	2.12	GM12878_CTCF
chr7	27634000	27636000	1.85	GM12878_CTCF
chr7	27636000	27638000	1.96	GM12878_CTCF
chr7	27638000	27640000	2.2	GM12878_CTCF
chr7	27640000	27642000	1.72	GM12878_CTCF
chr7	27642000	27644000	2.06	GM12878_CTCF
chr7	27644000	27646000	2.04	GM12878_CTCF
chr7	27646000	27648000	9.16	GM12878_CTCF
chr7	27648000	27650000	18.31	GM12878_CTCF
chr7	27650000	27652000	2.11	GM12878_CTCF
chr7	27652000	27654000	1.81	GM12878_CTCF
chr7	27654000	27656000	1.86	GM12878_CTCF
chr7	27656000	27658000	2.05	GM12878_CTCF
chr7	27658000	27660000	1.74	GM12878_CTCF
chr7	27660000	27662000	2.25	GM12878_CTCF
chr7	27662000	27664000	2.13	GM12878_CTCF
chr7	27664000	27666000	2.07	GM12878_CTCF
chr7	27666000	27668000	2.23	GM12878_CTCF
chr7	27668000	27670000	1.81	GM12878_CTCF
chr7	27670000	27672000	1.87	GM12878_CTCF
chr7	27672000	27674000	1.71	GM12878_CTCF
