chrom	start	end	chrom2	start2	end2	count	resolution
chr7	26600000	26610000	chr7	27180000	27190000	1	10000
chr7	26600000	26610000	chr7	27190000	27200000	1	10000
chr7	26600000	26610000	chr7	27200000	27210000	1	10000
chr7	26600000	26610000	chr7	27210000	27220000	1	10000
chr7	26600000	26610000	chr7	27220000	27230000	1	10000
chr7	26600000	26610000	chr7	27230000	27240000	1	10000
chr7	26600000	26610000	chr7	27240000	27250000	1	10000
chr7	26600000	26610000	chr7	27250000	27260000	1	10000
chr7	26600000	26610000	chr7	27270000	27280000	1	10000
chr7	26600000	26610000	chr7	27280000	27290000	1	10000
chr7	26600000	26610000	chr7	27290000	27300000	1	10000
chr7	26600000	26610000	chr7	27310000	27320000	1	10000
chr7	26600000	26610000	chr7	27330000	27340000	1	10000
chr7	26600000	26610000	chr7	27350000	27360000	1	10000
chr7	26610000	26620000	chr7	26610000	26620000	309	10000
chr7	26610000	26620000	chr7	26620000	26630000	105	10000
chr7	26610000	26620000	chr7	26630000	26640000	53	10000
chr7	26610000	26620000	chr7	26640000	26650000	36	10000
chr7	26610000	26620000	chr7	26650000	26660000	26	10000
chr7	26610000	26620000	chr7	26660000	26670000	17	10000
chr7	26610000	26620000	chr7	26670000	26680000	17	10000
chr7	26610000	26620000	chr7	26680000	26690000	13	10000
chr7	26610000	26620000	chr7	26690000	26700000	10	10000
chr7	26610000	26620000	chr7	26700000	26710000	10	10000
chr7	26610000	26620000	chr7	26710000	26720000	9	10000
chr7	26610000	26620000	chr7	26720000	26730000	8	10000
chr7	26610000	26620000	chr7	26730000	26740000	6	10000
chr7	26610000	26620000	chr7	26740000	26750000	7	10000
chr7	26610000	26620000	chr7	26750000	26760000	5	10000
chr7	26610000	26620000	chr7	26760000	26770000	4	10000
chr7	26610000	26620000	chr7	26770000	26780000	4	10000
chr7	26610000	26620000	chr7	26780000	26790000	3	10000
chr7	26610000	26620000	chr7	26790000	26800000	3	10000
chr7	26610000	26620000	chr7	26800000	26810000	3	10000
chr7	26610000	26620000	chr7	26810000	26820000	3	10000
chr7	26610000	26620000	chr7	26820000	26830000	3	10000
chr7	26610000	26620000	chr7	26830000	26840000	3	10000
chr7	26610000	26620000	chr7	26840000	26850000	3	10000
chr7	26610000	26620000	chr7	26850000	26860000	3	10000
chr7	26610000	26620000	chr7	26860000	26870000	3	10000
chr7	26610000	26620000	chr7	26870000	26880000	2	10000
chr7	26610000	26620000	chr7	26880000	26890000	2	10000
chr7	26610000	26620000	chr7	26890000	26900000	2	10000
chr7	26610000	26620000	chr7	26900000	26910000	2	10000
chr7	26610000	26620000	chr7	26910000	26920000	1	10000
chr7	26610000	26620000	chr7	26920000	26930000	2	10000
chr7	26610000	26620000	chr7	26930000	26940000	2	10000
chr7	26610000	26620000	chr7	26940000	26950000	2	10000
chr7	26610000	26620000	chr7	26950000	26960000	1	10000
chr7	26610000	26620000	chr7	26960000	26970000	1	10000
chr7	26610000	26620000	chr7	26970000	26980000	1	10000
chr7	26610000	26620000	chr7	26980000	26990000	1	10000
chr7	26610000	26620000	chr7	26990000	27000000	1	10000
chr7	26610000	26620000	chr7	27000000	27010000	1	10000
chr7	26610000	26620000	chr7	27010000	27020000	1	10000
chr7	26610000	26620000	chr7	27020000	27030000	1	10000
chr7	26610000	26620000	chr7	27030000	27040000	1	10000
chr7	26610000	26620000	chr7	27040000	27050000	1	10000
chr7	26610000	26620000	chr7	27050000	27060000	1	10000
chr7	26610000	26620000	chr7	27060000	27070000	1	10000
chr7	26610000	26620000	chr7	27070000	27080000	1	10000
chr7	26610000	26620000	chr7	27080000	27090000	1	10000
chr7	26610000	26620000	chr7	27090000	27100000	1	10000
chr7	26610000	26620000	chr7	27100000	27110000	1	10000
chr7	26610000	26620000	chr7	27110000	27120000	1	10000
chr7	26610000	26620000	chr7	27120000	27130000	1	10000
chr7	26610000	26620000	chr7	27130000	27140000	1	10000
chr7	26610000	26620000	chr7	27140000	27150000	1	10000
chr7	26610000	26620000	chr7	27150000	27160000	1	10000
chr7	26610000	26620000	chr7	27160000	27170000	1	10000
chr7	26610000	26620000	chr7	27170000	27180000	1	10000
chr7	26610000	26620000	chr7	27180000	27190000	1	10000
chr7	26610000	26620000	chr7	27190000	27200000	1	10000
chr7	26610000	26620000	chr7	27200000	27210000	1	10000
chr7	26610000	26620000	chr7	27210000	27220000	1	10000
chr7	26610000	26620000	chr7	27220000	27230000	1	10000
chr7	26610000	26620000	chr7	27230000	27240000	1	10000
chr7	26610000	26620000	chr7	27250000	27260000	1	10000
chr7	26610000	26620000	chr7	27260000	27270000	1	10000
chr7	26610000	26620000	chr7	27280000	27290000	1	10000
chr7	26610000	26620000	chr7	27340000	27350000	1	10000
chr7	26610000	26620000	chr7	27350000	27360000	1	10000
chr7	26610000	26620000	chr7	27360000	27370000	1	10000
chr7	26610000	26620000	chr7	27370000	27380000	1	10000
chr7	26620000	26630000	chr7	26620000	26630000	296	10000
chr7	26620000	26630000	chr7	26630000	26640000	91	10000
chr7	26620000	26630000	chr7	26640000	26650000	49	10000
chr7	26620000	26630000	chr7	26650000	26660000	38	10000
chr7	26620000	26630000	chr7	26660000	26670000	23	10000
chr7	26620000	26630000	chr7	26670000	26680000	20	10000
chr7	26620000	26630000	chr7	26680000	26690000	16	10000
chr7	26620000	26630000	chr7	26690000	26700000	14	10000
chr7	26620000	26630000	chr7	26700000	26710000	12	10000
chr7	26620000	26630000	chr7	26710000	26720000	10	10000
chr7	26620000	26630000	chr7	26720000	26730000	7	10000
chr7	26620000	26630000	chr7	26730000	26740000	8	10000
chr7	26620000	26630000	chr7	26740000	26750000	6	10000
chr7	26620000	26630000	chr7	26750000	26760000	5	10000
chr7	26620000	26630000	chr7	26760000	26770000	4	10000
chr7	26620000	26630000	chr7	26770000	26780000	5	10000
chr7	26620000	26630000	chr7	26780000	26790000	4	10000
chr7	26620000	26630000	chr7	26790000	26800000	4	10000
chr7	26620000	26630000	chr7	26800000	26810000	3	10000
chr7	26620000	26630000	chr7	26810000	26820000	4	10000
chr7	26620000	26630000	chr7	26820000	26830000	3	10000
chr7	26620000	26630000	chr7	26830000	26840000	3	10000
chr7	26620000	26630000	chr7	26840000	26850000	3	10000
chr7	26620000	26630000	chr7	26850000	26860000	2	10000
chr7	26620000	26630000	chr7	26860000	26870000	2	10000
chr7	26620000	26630000	chr7	26870000	26880000	2	10000
chr7	26620000	26630000	chr7	26880000	26890000	2	10000
chr7	26620000	26630000	chr7	26890000	26900000	2	10000
chr7	26620000	26630000	chr7	26900000	26910000	2	10000
chr7	26620000	26630000	chr7	26910000	26920000	2	10000
chr7	26620000	26630000	chr7	26920000	26930000	2	10000
chr7	26620000	26630000	chr7	26930000	26940000	2	10000
chr7	26620000	26630000	chr7	26940000	26950000	2	10000
chr7	26620000	26630000	chr7	26950000	26960000	2	10000
chr7	26620000	26630000	chr7	26960000	26970000	2	10000
chr7	26620000	26630000	chr7	26970000	26980000	2	10000
chr7	26620000	26630000	chr7	26980000	26990000	1	10000
chr7	26620000	26630000	chr7	26990000	27000000	1	10000
chr7	26620000	26630000	chr7	27000000	27010000	1	10000
chr7	26620000	26630000	chr7	27010000	27020000	1	10000
chr7	26620000	26630000	chr7	27020000	27030000	1	10000
chr7	26620000	26630000	chr7	27030000	27040000	1	10000
chr7	26620000	26630000	chr7	27040000	27050000	1	10000
chr7	26620000	26630000	chr7	27050000	27060000	1	10000
chr7	26620000	26630000	chr7	27060000	27070000	1	10000
chr7	26620000	26630000	chr7	27070000	27080000	1	10000
chr7	26620000	26630000	chr7	27080000	27090000	1	10000
chr7	26620000	26630000	chr7	27090000	27100000	1	10000
chr7	26620000	26630000	chr7	27100000	27110000	1	10000
chr7	26620000	26630000	chr7	27110000	27120000	1	10000
chr7	26620000	26630000	chr7	27120000	27130000	1	10000
chr7	26620000	26630000	chr7	27130000	27140000	1	10000
chr7	26620000	26630000	chr7	27140000	27150000	1	10000
chr7	26620000	26630000	chr7	27150000	27160000	1	10000
chr7	26620000	26630000	chr7	27160000	27170000	1	10000
chr7	26620000	26630000	chr7	27170000	27180000	1	10000
chr7	26620000	26630000	chr7	27180000	27190000	1	10000
chr7	26620000	26630000	chr7	27190000	27200000	1	10000
chr7	26620000	26630000	chr7	27200000	27210000	1	10000
chr7	26620000	26630000	chr7	27210000	27220000	1	10000
chr7	26620000	26630000	chr7	27220000	27230000	1	10000
chr7	26620000	26630000	chr7	27230000	27240000	1	10000
chr7	26620000	26630000	chr7	27240000	27250000	1	10000
chr7	26620000	26630000	chr7	27250000	27260000	1	10000
chr7	26620000	26630000	chr7	27270000	27280000	1	10000
chr7	26620000	26630000	chr7	27280000	27290000	1	10000
chr7	26620000	26630000	chr7	27320000	27330000	1	10000
chr7	26620000	26630000	chr7	27350000	27360000	1	10000
chr7	26620000	26630000	chr7	27370000	27380000	1	10000
chr7	26630000	26640000	chr7	26630000	26640000	330	10000
chr7	26630000	26640000	chr7	26640000	26650000	120	10000
chr7	26630000	26640000	chr7	26650000	26660000	68	10000
chr7	26630000	26640000	chr7	26660000	26670000	44	10000
chr7	26630000	26640000	chr7	26670000	26680000	32	10000
chr7	26630000	26640000	chr7	26680000	26690000	21	10000
chr7	26630000	26640000	chr7	26690000	26700000	16	10000
chr7	26630000	26640000	chr7	26700000	26710000	12	10000
chr7	26630000	26640000	chr7	26710000	26720000	13	10000
chr7	26630000	26640000	chr7	26720000	26730000	10	10000
chr7	26630000	26640000	chr7	26730000	26740000	8	10000
chr7	26630000	26640000	chr7	26740000	26750000	8	10000
chr7	26630000	26640000	chr7	26750000	26760000	6	10000
chr7	26630000	26640000	chr7	26760000	26770000	7	10000
chr7	26630000	26640000	chr7	26770000	26780000	6	10000
chr7	26630000	26640000	chr7	26780000	26790000	5	10000
chr7	26630000	26640000	chr7	26790000	26800000	5	10000
chr7	26630000	26640000	chr7	26800000	26810000	3	10000
chr7	26630000	26640000	chr7	26810000	26820000	4	10000
chr7	26630000	26640000	chr7	26820000	26830000	4	10000
chr7	26630000	26640000	chr7	26830000	26840000	3	10000
chr7	26630000	26640000	chr7	26840000	26850000	3	10000
chr7	26630000	26640000	chr7	26850000	26860000	3	10000
chr7	26630000	26640000	chr7	26860000	26870000	2	10000
chr7	26630000	26640000	chr7	26870000	26880000	2	10000
chr7	26630000	26640000	chr7	26880000	26890000	3	10000
chr7	26630000	26640000	chr7	26890000	26900000	2	10000
chr7	26630000	26640000	chr7	26900000	26910000	2	10000
chr7	26630000	26640000	chr7	26910000	26920000	2	10000
chr7	26630000	26640000	chr7	26920000	26930000	2	10000
chr7	26630000	26640000	chr7	26930000	26940000	1	10000
chr7	26630000	26640000	chr7	26940000	26950000	2	10000
chr7	26630000	26640000	chr7	26950000	26960000	2	10000
chr7	26630000	26640000	chr7	26960000	26970000	2	10000
chr7	26630000	26640000	chr7	26970000	26980000	2	10000
chr7	26630000	26640000	chr7	26980000	26990000	1	10000
chr7	26630000	26640000	chr7	26990000	27000000	1	10000
chr7	26630000	26640000	chr7	27000000	27010000	1	10000
chr7	26630000	26640000	chr7	27010000	27020000	1	10000
chr7	26630000	26640000	chr7	27020000	27030000	1	10000
chr7	26630000	26640000	chr7	27030000	27040000	1	10000
chr7	26630000	26640000	chr7	27040000	27050000	1	10000
chr7	26630000	26640000	chr7	27050000	27060000	1	10000
chr7	26630000	26640000	chr7	27060000	27070000	1	10000
chr7	26630000	26640000	chr7	27070000	27080000	1	10000
chr7	26630000	26640000	chr7	27080000	27090000	1	10000
chr7	26630000	26640000	chr7	27090000	27100000	1	10000
chr7	26630000	26640000	chr7	27100000	27110000	1	10000
chr7	26630000	26640000	chr7	27110000	27120000	1	10000
chr7	26630000	26640000	chr7	27120000	27130000	1	10000
chr7	26630000	26640000	chr7	27130000	27140000	1	10000
chr7	26630000	26640000	chr7	27140000	27150000	1	10000
chr7	26630000	26640000	chr7	27150000	27160000	1	10000
chr7	26630000	26640000	chr7	27160000	27170000	1	10000
chr7	26630000	26640000	chr7	27170000	27180000	1	10000
chr7	26630000	26640000	chr7	27180000	27190000	1	10000
chr7	26630000	26640000	chr7	27190000	27200000	1	10000
chr7	26630000	26640000	chr7	27200000	27210000	1	10000
chr7	26630000	26640000	chr7	27210000	27220000	1	10000
chr7	26630000	26640000	chr7	27220000	27230000	1	10000
chr7	26630000	26640000	chr7	27230000	27240000	1	10000
chr7	26630000	26640000	chr7	27240000	27250000	1	10000
chr7	26630000	26640000	chr7	27250000	27260000	1	10000
chr7	26630000	26640000	chr7	27260000	27270000	1	10000
chr7	26630000	26640000	chr7	27270000	27280000	1	10000
chr7	26630000	26640000	chr7	27280000	27290000	1	10000
chr7	26630000	26640000	chr7	27300000	27310000	1	10000
chr7	26630000	26640000	chr7	27310000	27320000	1	10000
chr7	26630000	26640000	chr7	27320000	27330000	1	10000
chr7	26630000	26640000	chr7	27340000	27350000	1	10000
chr7	26630000	26640000	chr7	27350000	27360000	1	10000
chr7	26630000	26640000	chr7	27380000	27390000	1	10000
chr7	26640000	26650000	chr7	26640000	26650000	339	10000
chr7	26640000	26650000	chr7	26650000	26660000	106	10000
chr7	26640000	26650000	chr7	26660000	26670000	63	10000
chr7	26640000	26650000	chr7	26670000	26680000	37	10000
chr7	26640000	26650000	chr7	26680000	26690000	27	10000
chr7	26640000	26650000	chr7	26690000	26700000	18	10000
chr7	26640000	26650000	chr7	26700000	26710000	17	10000
chr7	26640000	26650000	chr7	26710000	26720000	13	10000
chr7	26640000	26650000	chr7	26720000	26730000	11	10000
chr7	26640000	26650000	chr7	26730000	26740000	11	10000
chr7	26640000	26650000	chr7	26740000	26750000	8	10000
chr7	26640000	26650000	chr7	26750000	26760000	8	10000
chr7	26640000	26650000	chr7	26760000	26770000	5	10000
chr7	26640000	26650000	chr7	26770000	26780000	6	10000
chr7	26640000	26650000	chr7	26780000	26790000	6	10000
chr7	26640000	26650000	chr7	26790000	26800000	5	10000
chr7	26640000	26650000	chr7	26800000	26810000	3	10000
chr7	26640000	26650000	chr7	26810000	26820000	4	10000
chr7	26640000	26650000	chr7	26820000	26830000	3	10000
chr7	26640000	26650000	chr7	26830000	26840000	3	10000
chr7	26640000	26650000	chr7	26840000	26850000	3	10000
chr7	26640000	26650000	chr7	26850000	26860000	3	10000
chr7	26640000	26650000	chr7	26860000	26870000	3	10000
chr7	26640000	26650000	chr7	26870000	26880000	2	10000
chr7	26640000	26650000	chr7	26880000	26890000	2	10000
chr7	26640000	26650000	chr7	26890000	26900000	3	10000
chr7	26640000	26650000	chr7	26900000	26910000	2	10000
chr7	26640000	26650000	chr7	26910000	26920000	2	10000
chr7	26640000	26650000	chr7	26920000	26930000	2	10000
chr7	26640000	26650000	chr7	26930000	26940000	2	10000
chr7	26640000	26650000	chr7	26940000	26950000	1	10000
chr7	26640000	26650000	chr7	26950000	26960000	2	10000
chr7	26640000	26650000	chr7	26960000	26970000	2	10000
chr7	26640000	26650000	chr7	26970000	26980000	1	10000
chr7	26640000	26650000	chr7	26980000	26990000	1	10000
chr7	26640000	26650000	chr7	26990000	27000000	2	10000
chr7	26640000	26650000	chr7	27000000	27010000	1	10000
chr7	26640000	26650000	chr7	27010000	27020000	2	10000
chr7	26640000	26650000	chr7	27020000	27030000	1	10000
chr7	26640000	26650000	chr7	27030000	27040000	1	10000
chr7	26640000	26650000	chr7	27040000	27050000	1	10000
chr7	26640000	26650000	chr7	27050000	27060000	1	10000
chr7	26640000	26650000	chr7	27060000	27070000	1	10000
chr7	26640000	26650000	chr7	27070000	27080000	1	10000
chr7	26640000	26650000	chr7	27080000	27090000	1	10000
chr7	26640000	26650000	chr7	27090000	27100000	1	10000
chr7	26640000	26650000	chr7	27100000	27110000	1	10000
chr7	26640000	26650000	chr7	27110000	27120000	1	10000
chr7	26640000	26650000	chr7	27120000	27130000	1	10000
chr7	26640000	26650000	chr7	27130000	27140000	1	10000
chr7	26640000	26650000	chr7	27140000	27150000	1	10000
chr7	26640000	26650000	chr7	27150000	27160000	1	10000
chr7	26640000	26650000	chr7	27160000	27170000	1	10000
chr7	26640000	26650000	chr7	27170000	27180000	1	10000
chr7	26640000	26650000	chr7	27180000	27190000	1	10000
chr7	26640000	26650000	chr7	27190000	27200000	1	10000
chr7	26640000	26650000	chr7	27200000	27210000	1	10000
chr7	26640000	26650000	chr7	27210000	27220000	1	10000
chr7	26640000	26650000	chr7	27220000	27230000	1	10000
chr7	26640000	26650000	chr7	27230000	27240000	1	10000
chr7	26640000	26650000	chr7	27240000	27250000	1	10000
chr7	26640000	26650000	chr7	27250000	27260000	1	10000
chr7	26640000	26650000	chr7	27260000	27270000	1	10000
chr7	26640000	26650000	chr7	27270000	27280000	1	10000
chr7	26640000	26650000	chr7	27280000	27290000	1	10000
chr7	26640000	26650000	chr7	27300000	27310000	1	10000
chr7	26640000	26650000	chr7	27310000	27320000	1	10000
chr7	26640000	26650000	chr7	27330000	27340000	1	10000
chr7	26640000	26650000	chr7	27350000	27360000	1	10000
chr7	26640000	26650000	chr7	27400000	27410000	1	10000
chr7	26640000	26650000	chr7	27410000	27420000	1	10000
chr7	26640000	26650000	chr7	27420000	27430000	1	10000
chr7	26650000	26660000	chr7	26650000	26660000	241	10000
chr7	26650000	26660000	chr7	26660000	26670000	111	10000
chr7	26650000	26660000	chr7	26670000	26680000	55	10000
chr7	26650000	26660000	chr7	26680000	26690000	35	10000
chr7	26650000	26660000	chr7	26690000	26700000	31	10000
chr7	26650000	26660000	chr7	26700000	26710000	19	10000
chr7	26650000	26660000	chr7	26710000	26720000	19	10000
chr7	26650000	26660000	chr7	26720000	26730000	14	10000
chr7	26650000	26660000	chr7	26730000	26740000	10	10000
chr7	26650000	26660000	chr7	26740000	26750000	9	10000
chr7	26650000	26660000	chr7	26750000	26760000	7	10000
chr7	26650000	26660000	chr7	26760000	26770000	8	10000
chr7	26650000	26660000	chr7	26770000	26780000	5	10000
chr7	26650000	26660000	chr7	26780000	26790000	5	10000
chr7	26650000	26660000	chr7	26790000	26800000	5	10000
chr7	26650000	26660000	chr7	26800000	26810000	5	10000
chr7	26650000	26660000	chr7	26810000	26820000	5	10000
chr7	26650000	26660000	chr7	26820000	26830000	4	10000
chr7	26650000	26660000	chr7	26830000	26840000	4	10000
chr7	26650000	26660000	chr7	26840000	26850000	4	10000
chr7	26650000	26660000	chr7	26850000	26860000	3	10000
chr7	26650000	26660000	chr7	26860000	26870000	3	10000
chr7	26650000	26660000	chr7	26870000	26880000	3	10000
chr7	26650000	26660000	chr7	26880000	26890000	3	10000
chr7	26650000	26660000	chr7	26890000	26900000	2	10000
chr7	26650000	26660000	chr7	26900000	26910000	2	10000
chr7	26650000	26660000	chr7	26910000	26920000	3	10000
chr7	26650000	26660000	chr7	26920000	26930000	2	10000
chr7	26650000	26660000	chr7	26930000	26940000	2	10000
chr7	26650000	26660000	chr7	26940000	26950000	2	10000
chr7	26650000	26660000	chr7	26950000	26960000	1	10000
chr7	26650000	26660000	chr7	26960000	26970000	2	10000
chr7	26650000	26660000	chr7	26970000	26980000	2	10000
chr7	26650000	26660000	chr7	26980000	26990000	1	10000
chr7	26650000	26660000	chr7	26990000	27000000	2	10000
chr7	26650000	26660000	chr7	27000000	27010000	2	10000
chr7	26650000	26660000	chr7	27010000	27020000	2	10000
chr7	26650000	26660000	chr7	27020000	27030000	1	10000
chr7	26650000	26660000	chr7	27030000	27040000	1	10000
chr7	26650000	26660000	chr7	27040000	27050000	1	10000
chr7	26650000	26660000	chr7	27050000	27060000	1	10000
chr7	26650000	26660000	chr7	27060000	27070000	1	10000
chr7	26650000	26660000	chr7	27070000	27080000	1	10000
chr7	26650000	26660000	chr7	27080000	27090000	1	10000
chr7	26650000	26660000	chr7	27090000	27100000	1	10000
chr7	26650000	26660000	chr7	27100000	27110000	1	10000
chr7	26650000	26660000	chr7	27110000	27120000	1	10000
chr7	26650000	26660000	chr7	27120000	27130000	1	10000
chr7	26650000	26660000	chr7	27130000	27140000	1	10000
chr7	26650000	26660000	chr7	27140000	27150000	1	10000
chr7	26650000	26660000	chr7	27150000	27160000	1	10000
chr7	26650000	26660000	chr7	27160000	27170000	1	10000
chr7	26650000	26660000	chr7	27170000	27180000	1	10000
chr7	26650000	26660000	chr7	27180000	27190000	1	10000
chr7	26650000	26660000	chr7	27190000	27200000	1	10000
chr7	26650000	26660000	chr7	27200000	27210000	1	10000
chr7	26650000	26660000	chr7	27210000	27220000	1	10000
chr7	26650000	26660000	chr7	27220000	27230000	1	10000
chr7	26650000	26660000	chr7	27230000	27240000	1	10000
chr7	26650000	26660000	chr7	27240000	27250000	1	10000
chr7	26650000	26660000	chr7	27250000	27260000	1	10000
chr7	26650000	26660000	chr7	27260000	27270000	1	10000
chr7	26650000	26660000	chr7	27270000	27280000	1	10000
chr7	26650000	26660000	chr7	27280000	27290000	1	10000
chr7	26650000	26660000	chr7	27290000	27300000	1	10000
chr7	26650000	26660000	chr7	27320000	27330000	1	10000
chr7	26650000	26660000	chr7	27330000	27340000	1	10000
chr7	26650000	26660000	chr7	27350000	27360000	1	10000
chr7	26650000	26660000	chr7	27390000	27400000	1	10000
chr7	26650000	26660000	chr7	27410000	27420000	1	10000
chr7	26660000	26670000	chr7	26660000	26670000	849	10000
chr7	26660000	26670000	chr7	26670000	26680000	228	10000
chr7	26660000	26670000	chr7	26680000	26690000	151	10000
chr7	26660000	26670000	chr7	26690000	26700000	76	10000
chr7	26660000	26670000	chr7	26700000	26710000	79	10000
chr7	26660000	26670000	chr7	26710000	26720000	56	10000
chr7	26660000	26670000	chr7	26720000	26730000	39	10000
chr7	26660000	26670000	chr7	26730000	26740000	33	10000
chr7	26660000	26670000	chr7	26740000	26750000	31	10000
chr7	26660000	26670000	chr7	26750000	26760000	19	10000
chr7	26660000	26670000	chr7	26760000	26770000	19	10000
chr7	26660000	26670000	chr7	26770000	26780000	18	10000
chr7	26660000	26670000	chr7	26780000	26790000	19	10000
chr7	26660000	26670000	chr7	26790000	26800000	15	10000
chr7	26660000	26670000	chr7	26800000	26810000	13	10000
chr7	26660000	26670000	chr7	26810000	26820000	14	10000
chr7	26660000	26670000	chr7	26820000	26830000	11	10000
chr7	26660000	26670000	chr7	26830000	26840000	8	10000
chr7	26660000	26670000	chr7	26840000	26850000	10	10000
chr7	26660000	26670000	chr7	26850000	26860000	9	10000
chr7	26660000	26670000	chr7	26860000	26870000	9	10000
chr7	26660000	26670000	chr7	26870000	26880000	9	10000
chr7	26660000	26670000	chr7	26880000	26890000	7	10000
chr7	26660000	26670000	chr7	26890000	26900000	5	10000
chr7	26660000	26670000	chr7	26900000	26910000	7	10000
chr7	26660000	26670000	chr7	26910000	26920000	6	10000
chr7	26660000	26670000	chr7	26920000	26930000	6	10000
chr7	26660000	26670000	chr7	26930000	26940000	6	10000
chr7	26660000	26670000	chr7	26940000	26950000	5	10000
chr7	26660000	26670000	chr7	26950000	26960000	4	10000
chr7	26660000	26670000	chr7	26960000	26970000	4	10000
chr7	26660000	26670000	chr7	26970000	26980000	4	10000
chr7	26660000	26670000	chr7	26980000	26990000	4	10000
chr7	26660000	26670000	chr7	26990000	27000000	3	10000
chr7	26660000	26670000	chr7	27000000	27010000	3	10000
chr7	26660000	26670000	chr7	27010000	27020000	4	10000
chr7	26660000	26670000	chr7	27020000	27030000	4	10000
chr7	26660000	26670000	chr7	27030000	27040000	3	10000
chr7	26660000	26670000	chr7	27040000	27050000	3	10000
chr7	26660000	26670000	chr7	27050000	27060000	3	10000
chr7	26660000	26670000	chr7	27060000	27070000	2	10000
chr7	26660000	26670000	chr7	27070000	27080000	3	10000
chr7	26660000	26670000	chr7	27080000	27090000	3	10000
chr7	26660000	26670000	chr7	27090000	27100000	1	10000
chr7	26660000	26670000	chr7	27100000	27110000	1	10000
chr7	26660000	26670000	chr7	27110000	27120000	1	10000
chr7	26660000	26670000	chr7	27120000	27130000	1	10000
chr7	26660000	26670000	chr7	27130000	27140000	1	10000
chr7	26660000	26670000	chr7	27140000	27150000	1	10000
chr7	26660000	26670000	chr7	27150000	27160000	1	10000
chr7	26660000	26670000	chr7	27160000	27170000	1	10000
chr7	26660000	26670000	chr7	27170000	27180000	1	10000
chr7	26660000	26670000	chr7	27180000	27190000	1	10000
chr7	26660000	26670000	chr7	27190000	27200000	1	10000
chr7	26660000	26670000	chr7	27200000	27210000	1	10000
chr7	26660000	26670000	chr7	27210000	27220000	1	10000
