contig	feature_id	start	end	strand	gene_class	label	region_start	region_end
CTG3	CTG3_00060	18255	18854	+	terpene	hmgR	5922	22180
CTG3	CTG3_00065	18978	20429	+	terpene	cyp51	5922	22180
CTG3	CTG3_00070	20606	22054	+	terpene	marR	5922	22180
CTG3	CTG3_00075	22307	23569	+	flanking	00075	5922	22180
CTG3	CTG3_00080	23600	25216	+	flanking	00080	5922	22180
CTG3	CTG3_00085	25473	25832	+	flanking	00085	5922	22180
CTG3	CTG3_00090	25928	26344	+	flanking	00090	5922	22180
CTG3	CTG3_00095	26376	27710	-	flanking	00095	5922	22180
CTG3	CTG3_00100	27728	28948	-	flanking	00100	5922	22180
CTG3	CTG3_00105	29090	29854	+	flanking	00105	5922	22180
CTG4	CTG4_00005	816	1961	-	flanking	00005	8341	29840
CTG4	CTG4_00010	2212	3258	+	flanking	00010	8341	29840
CTG4	CTG4_00015	3513	4535	+	flanking	00015	8341	29840
CTG4	CTG4_00020	4582	5877	+	flanking	00020	8341	29840
CTG4	CTG4_00025	5926	7281	+	flanking	00025	8341	29840
CTG4	CTG4_00030	7383	7778	-	flanking	00030	8341	29840
CTG4	CTG4_00035	7852	8232	-	flanking	00035	8341	29840
CTG4	CTG4_00040	8451	11678	-	RiPP-like	lanM	8341	29840
CTG4	CTG4_00045	11696	14869	-	RiPP-like	lanB	8341	29840
CTG4	CTG4_00050	14929	16926	+	RiPP-like	abcT3	8341	29840
CTG4	CTG4_00055	17054	18736	+	RiPP-like	pepP	8341	29840
CTG4	CTG4_00060	18791	19534	+	RiPP-like	rgrA	8341	29840
CTG4	CTG4_00065	19597	21138	+	RiPP-like	lanT	8341	29840
CTG4	CTG4_00070	21325	23187	+	RiPP-like	lanC	8341	29840
CTG4	CTG4_00075	23299	24729	+	RiPP-like	nisP	8341	29840
CTG4	CTG4_00080	24906	26546	+	RiPP-like	immA	8341	29840
CTG4	CTG4_00085	26750	27967	+	RiPP-like	lanA	8341	29840
CTG4	CTG4_00090	28016	29728	-	RiPP-like	abcT3	8341	29840
CTG4	CTG4_00095	29952	31241	-	flanking	00095	8341	29840
CTG4	CTG4_00100	31470	31937	-	flanking	00100	8341	29840
CTG4	CTG4_00105	31982	32824	-	flanking	00105	8341	29840
CTG4	CTG4_00110	33070	34131	+	flanking	00110	8341	29840
CTG4	CTG4_00115	34388	35884	+	flanking	00115	8341	29840
CTG4	CTG4_00120	35946	37412	-	flanking	00120	8341	29840
CTG5	CTG5_00005	643	954	-	flanking	00005	6969	25554
CTG5	CTG5_00010	1211	1639	-	flanking	00010	6969	25554
CTG5	CTG5_00015	1751	2533	-	flanking	00015	6969	25554
CTG5	CTG5_00020	2655	3944	-	flanking	00020	6969	25554
CTG5	CTG5_00025	4119	4712	-	flanking	00025	6969	25554
CTG5	CTG5_00030	4758	5438	-	flanking	00030	6969	25554
CTG5	CTG5_00035	5600	6853	-	flanking	00035	6969	25554
CTG5	CTG5_00040	7086	10391	+	betalactone	lctC	6969	25554
CTG5	CTG5_00045	10421	13450	+	betalactone	lctB	6969	25554
CTG5	CTG5_00050	13500	15488	+	betalactone	adhE	6969	25554
CTG5	CTG5_00055	15635	17659	-	betalactone	araC	6969	25554
CTG5	CTG5_00060	17685	18284	-	betalactone	fabH	6969	25554
CTG5	CTG5_00065	18390	20060	-	betalactone	amtB	6969	25554
CTG5	CTG5_00070	20168	21073	+	betalactone	estA	6969	25554
CTG5	CTG5_00075	21091	21786	+	betalactone	acpS	6969	25554
CTG5	CTG5_00080	22026	23567	+	betalactone	sdrA	6969	25554
CTG5	CTG5_00085	23769	25505	+	betalactone	cyp71	6969	25554
CTG5	CTG5_00090	25604	26056	-	flanking	00090	6969	25554
CTG5	CTG5_00095	26266	26880	-	flanking	00095	6969	25554
CTG5	CTG5_00100	27132	27914	-	flanking	00100	6969	25554
CTG5	CTG5_00105	28051	28671	-	flanking	00105	6969	25554
CTG5	CTG5_00110	28712	29023	-	flanking	00110	6969	25554
CTG5	CTG5_00115	29179	30072	+	flanking	00115	6969	25554
