chromosome	position	end	depth	sample
chr12	6576100	6576150	11	CTRL_rep1
chr12	6576150	6576200	15	CTRL_rep1
chr12	6576200	6576250	13	CTRL_rep1
chr12	6576250	6576300	13	CTRL_rep1
chr12	6576300	6576350	13	CTRL_rep1
chr12	6576350	6576400	11	CTRL_rep1
chr12	6576400	6576450	13	CTRL_rep1
chr12	6576450	6576500	13	CTRL_rep1
chr12	6576500	6576550	10	CTRL_rep1
chr12	6576550	6576600	14	CTRL_rep1
chr12	6576600	6576650	14	CTRL_rep1
chr12	6576650	6576700	8	CTRL_rep1
chr12	6576700	6576750	15	CTRL_rep1
chr12	6576750	6576800	14	CTRL_rep1
chr12	6576800	6576850	13	CTRL_rep1
chr12	6576850	6576900	11	CTRL_rep1
chr12	6576900	6576950	13	CTRL_rep1
chr12	6576950	6577000	12	CTRL_rep1
chr12	6577000	6577050	12	CTRL_rep1
chr12	6577050	6577100	12	CTRL_rep1
chr12	6577100	6577150	12	CTRL_rep1
chr12	6577150	6577200	15	CTRL_rep1
chr12	6577200	6577250	12	CTRL_rep1
chr12	6577250	6577300	10	CTRL_rep1
chr12	6577300	6577350	13	CTRL_rep1
chr12	6577350	6577400	10	CTRL_rep1
chr12	6577400	6577450	15	CTRL_rep1
chr12	6577450	6577500	12	CTRL_rep1
chr12	6577500	6577550	10	CTRL_rep1
chr12	6577550	6577600	13	CTRL_rep1
chr12	6577600	6577650	10	CTRL_rep1
chr12	6577650	6577700	9	CTRL_rep1
chr12	6577700	6577750	11	CTRL_rep1
chr12	6577750	6577800	11	CTRL_rep1
chr12	6577800	6577850	15	CTRL_rep1
chr12	6577850	6577900	15	CTRL_rep1
chr12	6577900	6577950	13	CTRL_rep1
chr12	6577950	6578000	12	CTRL_rep1
chr12	6578000	6578050	14	CTRL_rep1
chr12	6578050	6578100	10	CTRL_rep1
chr12	6578100	6578150	15	CTRL_rep1
chr12	6578150	6578200	13	CTRL_rep1
chr12	6578200	6578250	9	CTRL_rep1
chr12	6578250	6578300	11	CTRL_rep1
chr12	6578300	6578350	12	CTRL_rep1
chr12	6578350	6578400	7	CTRL_rep1
chr12	6578400	6578450	12	CTRL_rep1
chr12	6578450	6578500	13	CTRL_rep1
chr12	6578500	6578550	9	CTRL_rep1
chr12	6578550	6578600	13	CTRL_rep1
chr12	6578600	6578650	10	CTRL_rep1
chr12	6578650	6578700	13	CTRL_rep1
chr12	6578700	6578750	12	CTRL_rep1
chr12	6578750	6578800	11	CTRL_rep1
chr12	6578800	6578850	12	CTRL_rep1
chr12	6578850	6578900	13	CTRL_rep1
chr12	6578900	6578950	11	CTRL_rep1
chr12	6578950	6579000	10	CTRL_rep1
chr12	6579000	6579050	11	CTRL_rep1
chr12	6579050	6579100	14	CTRL_rep1
chr12	6579100	6579150	12	CTRL_rep1
chr12	6579150	6579200	9	CTRL_rep1
chr12	6579200	6579250	14	CTRL_rep1
chr12	6579250	6579300	11	CTRL_rep1
chr12	6579300	6579350	9	CTRL_rep1
chr12	6579350	6579400	15	CTRL_rep1
chr12	6579400	6579450	15	CTRL_rep1
chr12	6579450	6579500	13	CTRL_rep1
chr12	6579500	6579550	11	CTRL_rep1
chr12	6579550	6579600	11	CTRL_rep1
chr12	6579600	6579650	12	CTRL_rep1
chr12	6579650	6579700	11	CTRL_rep1
chr12	6579700	6579750	13	CTRL_rep1
chr12	6579750	6579800	11	CTRL_rep1
chr12	6579800	6579850	12	CTRL_rep1
chr12	6579850	6579900	15	CTRL_rep1
chr12	6579900	6579950	10	CTRL_rep1
chr12	6579950	6580000	13	CTRL_rep1
chr12	6580000	6580050	13	CTRL_rep1
chr12	6580050	6580100	10	CTRL_rep1
chr12	6580100	6580150	9	CTRL_rep1
chr12	6580150	6580200	15	CTRL_rep1
chr12	6580200	6580250	11	CTRL_rep1
chr12	6580250	6580300	10	CTRL_rep1
chr12	6580300	6580350	11	CTRL_rep1
chr12	6580350	6580400	12	CTRL_rep1
chr12	6580400	6580450	15	CTRL_rep1
chr12	6580450	6580500	10	CTRL_rep1
chr12	6580500	6580550	11	CTRL_rep1
chr12	6580550	6580600	13	CTRL_rep1
chr12	6580600	6580650	11	CTRL_rep1
chr12	6580650	6580700	15	CTRL_rep1
chr12	6580700	6580750	9	CTRL_rep1
chr12	6580750	6580800	11	CTRL_rep1
chr12	6580800	6580850	11	CTRL_rep1
chr12	6580850	6580900	12	CTRL_rep1
chr12	6580900	6580950	11	CTRL_rep1
chr12	6580950	6581000	11	CTRL_rep1
chr12	6581000	6581050	13	CTRL_rep1
chr12	6581050	6581100	12	CTRL_rep1
chr12	6581100	6581150	13	CTRL_rep1
chr12	6581150	6581200	11	CTRL_rep1
chr12	6581200	6581250	12	CTRL_rep1
chr12	6581250	6581300	12	CTRL_rep1
chr12	6581300	6581350	13	CTRL_rep1
chr12	6581350	6581400	14	CTRL_rep1
chr12	6581400	6581450	14	CTRL_rep1
chr12	6581450	6581500	10	CTRL_rep1
chr12	6581500	6581550	13	CTRL_rep1
chr12	6581550	6581600	11	CTRL_rep1
chr12	6581600	6581650	13	CTRL_rep1
chr12	6581650	6581700	12	CTRL_rep1
chr12	6581700	6581750	9	CTRL_rep1
chr12	6581750	6581800	16	CTRL_rep1
chr12	6581800	6581850	10	CTRL_rep1
chr12	6581850	6581900	14	CTRL_rep1
chr12	6581900	6581950	11	CTRL_rep1
chr12	6581950	6582000	12	CTRL_rep1
chr12	6582000	6582050	12	CTRL_rep1
chr12	6582050	6582100	15	CTRL_rep1
chr12	6582100	6582150	12	CTRL_rep1
chr12	6582150	6582200	14	CTRL_rep1
chr12	6582200	6582250	10	CTRL_rep1
chr12	6582250	6582300	14	CTRL_rep1
chr12	6582300	6582350	12	CTRL_rep1
chr12	6582350	6582400	11	CTRL_rep1
chr12	6582400	6582450	11	CTRL_rep1
chr12	6582450	6582500	13	CTRL_rep1
chr12	6582500	6582550	14	CTRL_rep1
chr12	6582550	6582600	12	CTRL_rep1
chr12	6582600	6582650	14	CTRL_rep1
chr12	6582650	6582700	12	CTRL_rep1
chr12	6582700	6582750	13	CTRL_rep1
chr12	6582750	6582800	14	CTRL_rep1
chr12	6582800	6582850	14	CTRL_rep1
chr12	6582850	6582900	10	CTRL_rep1
chr12	6582900	6582950	12	CTRL_rep1
chr12	6582950	6583000	11	CTRL_rep1
chr12	6583000	6583050	16	CTRL_rep1
chr12	6583050	6583100	13	CTRL_rep1
chr12	6583100	6583150	13	CTRL_rep1
chr12	6583150	6583200	13	CTRL_rep1
chr12	6583200	6583250	11	CTRL_rep1
chr12	6583250	6583300	14	CTRL_rep1
chr12	6583300	6583350	10	CTRL_rep1
chr12	6583350	6583400	10	CTRL_rep1
chr12	6583400	6583450	11	CTRL_rep1
chr12	6583450	6583500	10	CTRL_rep1
chr12	6583500	6583550	12	CTRL_rep1
chr12	6583550	6583600	11	CTRL_rep1
chr12	6583600	6583650	12	CTRL_rep1
chr12	6583650	6583700	11	CTRL_rep1
chr12	6583700	6583750	13	CTRL_rep1
chr12	6583750	6583800	12	CTRL_rep1
chr12	6583800	6583850	10	CTRL_rep1
chr12	6583850	6583900	13	CTRL_rep1
chr12	6583900	6583950	13	CTRL_rep1
chr12	6583950	6584000	13	CTRL_rep1
chr12	6584000	6584050	7	CTRL_rep1
chr12	6584050	6584100	13	CTRL_rep1
chr12	6584100	6584150	15	CTRL_rep1
chr12	6584150	6584200	13	CTRL_rep1
chr12	6584200	6584250	9	CTRL_rep1
chr12	6584250	6584300	12	CTRL_rep1
chr12	6584300	6584350	13	CTRL_rep1
chr12	6584350	6584400	12	CTRL_rep1
chr12	6584400	6584450	10	CTRL_rep1
chr12	6584450	6584500	10	CTRL_rep1
chr12	6584500	6584550	11	CTRL_rep1
chr12	6584550	6584600	11	CTRL_rep1
chr12	6584600	6584650	13	CTRL_rep1
chr12	6584650	6584700	11	CTRL_rep1
chr12	6584700	6584750	11	CTRL_rep1
chr12	6584750	6584800	13	CTRL_rep1
chr12	6584800	6584850	14	CTRL_rep1
chr12	6584850	6584900	15	CTRL_rep1
chr12	6584900	6584950	11	CTRL_rep1
chr12	6584950	6585000	12	CTRL_rep1
chr12	6585000	6585050	12	CTRL_rep1
chr12	6585050	6585100	9	CTRL_rep1
chr12	6585100	6585150	13	CTRL_rep1
chr12	6585150	6585200	14	CTRL_rep1
chr12	6585200	6585250	12	CTRL_rep1
chr12	6585250	6585300	12	CTRL_rep1
chr12	6585300	6585350	9	CTRL_rep1
chr12	6585350	6585400	10	CTRL_rep1
chr12	6585400	6585450	13	CTRL_rep1
chr12	6585450	6585500	12	CTRL_rep1
chr12	6585500	6585550	13	CTRL_rep1
chr12	6585550	6585600	12	CTRL_rep1
chr12	6585600	6585650	11	CTRL_rep1
chr12	6585650	6585700	11	CTRL_rep1
chr12	6585700	6585750	10	CTRL_rep1
chr12	6585750	6585800	14	CTRL_rep1
chr12	6585800	6585850	12	CTRL_rep1
chr12	6585850	6585900	13	CTRL_rep1
chr12	6585900	6585950	12	CTRL_rep1
chr12	6585950	6586000	17	CTRL_rep1
chr12	6586000	6586050	14	CTRL_rep1
chr12	6586050	6586100	14	CTRL_rep1
chr12	6586100	6586150	8	CTRL_rep1
chr12	6586150	6586200	14	CTRL_rep1
chr12	6586200	6586250	15	CTRL_rep1
chr12	6586250	6586300	7	CTRL_rep1
chr12	6586300	6586350	10	CTRL_rep1
chr12	6586350	6586400	15	CTRL_rep1
chr12	6586400	6586450	11	CTRL_rep1
chr12	6586450	6586500	12	CTRL_rep1
chr12	6586500	6586550	13	CTRL_rep1
chr12	6586550	6586600	10	CTRL_rep1
chr12	6586600	6586650	11	CTRL_rep1
chr12	6586650	6586700	267	CTRL_rep1
chr12	6586700	6586750	285	CTRL_rep1
chr12	6586750	6586800	284	CTRL_rep1
chr12	6586800	6586850	242	CTRL_rep1
chr12	6586850	6586900	9	CTRL_rep1
chr12	6586900	6586950	11	CTRL_rep1
chr12	6586950	6587000	12	CTRL_rep1
chr12	6587000	6587050	11	CTRL_rep1
chr12	6587050	6587100	10	CTRL_rep1
chr12	6587100	6587150	9	CTRL_rep1
chr12	6587150	6587200	10	CTRL_rep1
chr12	6587200	6587250	9	CTRL_rep1
chr12	6587250	6587300	9	CTRL_rep1
chr12	6587300	6587350	12	CTRL_rep1
chr12	6587350	6587400	12	CTRL_rep1
chr12	6587400	6587450	14	CTRL_rep1
chr12	6587450	6587500	12	CTRL_rep1
chr12	6587500	6587550	10	CTRL_rep1
chr12	6587550	6587600	12	CTRL_rep1
chr12	6587600	6587650	10	CTRL_rep1
chr12	6587650	6587700	8	CTRL_rep1
chr12	6587700	6587750	11	CTRL_rep1
chr12	6587750	6587800	10	CTRL_rep1
chr12	6587800	6587850	8	CTRL_rep1
chr12	6587850	6587900	11	CTRL_rep1
chr12	6587900	6587950	9	CTRL_rep1
chr12	6587950	6588000	11	CTRL_rep1
chr12	6588000	6588050	10	CTRL_rep1
chr12	6588050	6588100	12	CTRL_rep1
chr12	6588100	6588150	11	CTRL_rep1
chr12	6588150	6588200	11	CTRL_rep1
chr12	6588200	6588250	11	CTRL_rep1
chr12	6588250	6588300	11	CTRL_rep1
chr12	6588300	6588350	12	CTRL_rep1
chr12	6588350	6588400	11	CTRL_rep1
chr12	6588400	6588450	12	CTRL_rep1
chr12	6588450	6588500	10	CTRL_rep1
chr12	6588500	6588550	10	CTRL_rep1
chr12	6588550	6588600	10	CTRL_rep1
chr12	6588600	6588650	9	CTRL_rep1
chr12	6588650	6588700	10	CTRL_rep1
chr12	6588700	6588750	9	CTRL_rep1
chr12	6588750	6588800	9	CTRL_rep1
chr12	6588800	6588850	11	CTRL_rep1
chr12	6588850	6588900	10	CTRL_rep1
chr12	6588900	6588950	11	CTRL_rep1
chr12	6588950	6589000	9	CTRL_rep1
chr12	6589000	6589050	12	CTRL_rep1
chr12	6589050	6589100	8	CTRL_rep1
chr12	6589100	6589150	9	CTRL_rep1
chr12	6589150	6589200	10	CTRL_rep1
chr12	6589200	6589250	9	CTRL_rep1
chr12	6589250	6589300	10	CTRL_rep1
chr12	6589300	6589350	10	CTRL_rep1
chr12	6589350	6589400	11	CTRL_rep1
chr12	6589400	6589450	10	CTRL_rep1
chr12	6589450	6589500	12	CTRL_rep1
chr12	6589500	6589550	9	CTRL_rep1
chr12	6589550	6589600	11	CTRL_rep1
chr12	6589600	6589650	12	CTRL_rep1
chr12	6589650	6589700	9	CTRL_rep1
chr12	6589700	6589750	11	CTRL_rep1
chr12	6589750	6589800	13	CTRL_rep1
chr12	6589800	6589850	8	CTRL_rep1
chr12	6589850	6589900	10	CTRL_rep1
chr12	6589900	6589950	9	CTRL_rep1
chr12	6589950	6590000	13	CTRL_rep1
chr12	6590000	6590050	9	CTRL_rep1
chr12	6590050	6590100	11	CTRL_rep1
chr12	6590100	6590150	9	CTRL_rep1
chr12	6590150	6590200	12	CTRL_rep1
chr12	6590200	6590250	10	CTRL_rep1
chr12	6590250	6590300	273	CTRL_rep1
chr12	6590300	6590350	227	CTRL_rep1
chr12	6590350	6590400	9	CTRL_rep1
chr12	6590400	6590450	11	CTRL_rep1
chr12	6590450	6590500	10	CTRL_rep1
chr12	6590500	6590550	11	CTRL_rep1
chr12	6590550	6590600	10	CTRL_rep1
chr12	6590600	6590650	9	CTRL_rep1
chr12	6590650	6590700	9	CTRL_rep1
chr12	6590700	6590750	11	CTRL_rep1
chr12	6590750	6590800	11	CTRL_rep1
chr12	6590800	6590850	12	CTRL_rep1
chr12	6590850	6590900	10	CTRL_rep1
chr12	6590900	6590950	12	CTRL_rep1
chr12	6590950	6591000	11	CTRL_rep1
chr12	6591000	6591050	9	CTRL_rep1
chr12	6591050	6591100	9	CTRL_rep1
chr12	6591100	6591150	10	CTRL_rep1
chr12	6591150	6591200	12	CTRL_rep1
chr12	6591200	6591250	10	CTRL_rep1
chr12	6591250	6591300	9	CTRL_rep1
chr12	6591300	6591350	10	CTRL_rep1
chr12	6591350	6591400	8	CTRL_rep1
chr12	6591400	6591450	9	CTRL_rep1
chr12	6591450	6591500	7	CTRL_rep1
chr12	6591500	6591550	10	CTRL_rep1
chr12	6591550	6591600	9	CTRL_rep1
chr12	6591600	6591650	9	CTRL_rep1
chr12	6591650	6591700	9	CTRL_rep1
chr12	6591700	6591750	10	CTRL_rep1
chr12	6591750	6591800	10	CTRL_rep1
chr12	6591800	6591850	7	CTRL_rep1
chr12	6591850	6591900	11	CTRL_rep1
chr12	6591900	6591950	10	CTRL_rep1
chr12	6591950	6592000	9	CTRL_rep1
chr12	6592000	6592050	12	CTRL_rep1
chr12	6592050	6592100	8	CTRL_rep1
chr12	6592100	6592150	8	CTRL_rep1
chr12	6592150	6592200	10	CTRL_rep1
chr12	6592200	6592250	8	CTRL_rep1
chr12	6592250	6592300	12	CTRL_rep1
chr12	6592300	6592350	9	CTRL_rep1
chr12	6592350	6592400	12	CTRL_rep1
chr12	6592400	6592450	9	CTRL_rep1
chr12	6592450	6592500	9	CTRL_rep1
chr12	6592500	6592550	10	CTRL_rep1
chr12	6592550	6592600	9	CTRL_rep1
chr12	6592600	6592650	8	CTRL_rep1
chr12	6592650	6592700	8	CTRL_rep1
chr12	6592700	6592750	12	CTRL_rep1
chr12	6592750	6592800	10	CTRL_rep1
chr12	6592800	6592850	11	CTRL_rep1
chr12	6592850	6592900	11	CTRL_rep1
chr12	6592900	6592950	8	CTRL_rep1
chr12	6592950	6593000	11	CTRL_rep1
chr12	6593000	6593050	12	CTRL_rep1
chr12	6593050	6593100	10	CTRL_rep1
chr12	6593100	6593150	13	CTRL_rep1
chr12	6593150	6593200	9	CTRL_rep1
chr12	6593200	6593250	11	CTRL_rep1
chr12	6593250	6593300	308	CTRL_rep1
chr12	6593300	6593350	304	CTRL_rep1
chr12	6593350	6593400	320	CTRL_rep1
chr12	6593400	6593450	272	CTRL_rep1
chr12	6593450	6593500	260	CTRL_rep1
chr12	6593500	6593550	13	CTRL_rep1
chr12	6593550	6593600	10	CTRL_rep1
chr12	6593600	6593650	10	CTRL_rep1
chr12	6593650	6593700	10	CTRL_rep1
chr12	6593700	6593750	13	CTRL_rep1
chr12	6593750	6593800	13	CTRL_rep1
chr12	6593800	6593850	12	CTRL_rep1
chr12	6593850	6593900	10	CTRL_rep1
chr12	6593900	6593950	11	CTRL_rep1
chr12	6593950	6594000	11	CTRL_rep1
chr12	6594000	6594050	12	CTRL_rep1
chr12	6594050	6594100	10	CTRL_rep1
chr12	6594100	6594150	13	CTRL_rep1
chr12	6594150	6594200	13	CTRL_rep1
chr12	6594200	6594250	9	CTRL_rep1
chr12	6594250	6594300	9	CTRL_rep1
chr12	6594300	6594350	264	CTRL_rep1
chr12	6594350	6594400	331	CTRL_rep1
chr12	6594400	6594450	335	CTRL_rep1
chr12	6594450	6594500	13	CTRL_rep1
chr12	6594500	6594550	11	CTRL_rep1
chr12	6594550	6594600	11	CTRL_rep1
chr12	6594600	6594650	9	CTRL_rep1
chr12	6594650	6594700	12	CTRL_rep1
chr12	6594700	6594750	12	CTRL_rep1
chr12	6594750	6594800	9	CTRL_rep1
chr12	6594800	6594850	11	CTRL_rep1
chr12	6594850	6594900	12	CTRL_rep1
chr12	6594900	6594950	9	CTRL_rep1
chr12	6594950	6595000	11	CTRL_rep1
chr12	6595000	6595050	12	CTRL_rep1
chr12	6595050	6595100	13	CTRL_rep1
chr12	6595100	6595150	10	CTRL_rep1
chr12	6595150	6595200	12	CTRL_rep1
chr12	6595200	6595250	11	CTRL_rep1
chr12	6595250	6595300	12	CTRL_rep1
chr12	6595300	6595350	13	CTRL_rep1
chr12	6595350	6595400	11	CTRL_rep1
chr12	6595400	6595450	12	CTRL_rep1
chr12	6595450	6595500	10	CTRL_rep1
chr12	6595500	6595550	10	CTRL_rep1
chr12	6595550	6595600	10	CTRL_rep1
chr12	6595600	6595650	14	CTRL_rep1
chr12	6595650	6595700	11	CTRL_rep1
chr12	6595700	6595750	12	CTRL_rep1
chr12	6595750	6595800	11	CTRL_rep1
chr12	6595800	6595850	8	CTRL_rep1
chr12	6595850	6595900	10	CTRL_rep1
chr12	6595900	6595950	8	CTRL_rep1
chr12	6595950	6596000	11	CTRL_rep1
chr12	6596000	6596050	9	CTRL_rep1
chr12	6596050	6596100	10	CTRL_rep1
chr12	6596100	6596150	8	CTRL_rep1
chr12	6596150	6596200	11	CTRL_rep1
chr12	6596200	6596250	10	CTRL_rep1
chr12	6596250	6596300	11	CTRL_rep1
chr12	6596300	6596350	9	CTRL_rep1
chr12	6596350	6596400	13	CTRL_rep1
chr12	6596400	6596450	10	CTRL_rep1
chr12	6596450	6596500	11	CTRL_rep1
chr12	6596500	6596550	10	CTRL_rep1
chr12	6596550	6596600	8	CTRL_rep1
chr12	6596600	6596650	11	CTRL_rep1
chr12	6596650	6596700	11	CTRL_rep1
chr12	6596700	6596750	13	CTRL_rep1
chr12	6596750	6596800	9	CTRL_rep1
chr12	6596800	6596850	11	CTRL_rep1
chr12	6596850	6596900	10	CTRL_rep1
chr12	6596900	6596950	12	CTRL_rep1
chr12	6596950	6597000	10	CTRL_rep1
chr12	6597000	6597050	13	CTRL_rep1
chr12	6597050	6597100	12	CTRL_rep1
chr12	6597100	6597150	10	CTRL_rep1
chr12	6597150	6597200	11	CTRL_rep1
chr12	6597200	6597250	9	CTRL_rep1
chr12	6597250	6597300	11	CTRL_rep1
chr12	6597300	6597350	10	CTRL_rep1
chr12	6597350	6597400	11	CTRL_rep1
chr12	6597400	6597450	12	CTRL_rep1
chr12	6597450	6597500	12	CTRL_rep1
chr12	6597500	6597550	11	CTRL_rep1
chr12	6597550	6597600	11	CTRL_rep1
chr12	6597600	6597650	9	CTRL_rep1
chr12	6597650	6597700	12	CTRL_rep1
chr12	6597700	6597750	8	CTRL_rep1
chr12	6597750	6597800	11	CTRL_rep1
chr12	6597800	6597850	10	CTRL_rep1
chr12	6597850	6597900	13	CTRL_rep1
chr12	6597900	6597950	9	CTRL_rep1
chr12	6597950	6598000	11	CTRL_rep1
chr12	6598000	6598050	9	CTRL_rep1
chr12	6598050	6598100	10	CTRL_rep1
chr12	6598100	6598150	10	CTRL_rep1
chr12	6598150	6598200	9	CTRL_rep1
chr12	6598200	6598250	11	CTRL_rep1
chr12	6598250	6598300	12	CTRL_rep1
chr12	6598300	6598350	9	CTRL_rep1
chr12	6598350	6598400	10	CTRL_rep1
chr12	6598400	6598450	9	CTRL_rep1
chr12	6598450	6598500	8	CTRL_rep1
chr12	6598500	6598550	13	CTRL_rep1
chr12	6598550	6598600	11	CTRL_rep1
chr12	6598600	6598650	8	CTRL_rep1
chr12	6598650	6598700	10	CTRL_rep1
chr12	6598700	6598750	11	CTRL_rep1
chr12	6598750	6598800	10	CTRL_rep1
chr12	6598800	6598850	12	CTRL_rep1
chr12	6598850	6598900	12	CTRL_rep1
chr12	6598900	6598950	10	CTRL_rep1
chr12	6598950	6599000	12	CTRL_rep1
chr12	6599000	6599050	11	CTRL_rep1
chr12	6599050	6599100	10	CTRL_rep1
chr12	6599100	6599150	10	CTRL_rep1
chr12	6599150	6599200	14	CTRL_rep1
chr12	6599200	6599250	11	CTRL_rep1
chr12	6599250	6599300	9	CTRL_rep1
chr12	6599300	6599350	11	CTRL_rep1
chr12	6599350	6599400	10	CTRL_rep1
chr12	6599400	6599450	10	CTRL_rep1
chr12	6599450	6599500	11	CTRL_rep1
chr12	6599500	6599550	9	CTRL_rep1
chr12	6599550	6599600	12	CTRL_rep1
chr12	6599600	6599650	11	CTRL_rep1
chr12	6599650	6599700	10	CTRL_rep1
chr12	6599700	6599750	9	CTRL_rep1
chr12	6599750	6599800	12	CTRL_rep1
chr12	6599800	6599850	9	CTRL_rep1
chr12	6599850	6599900	13	CTRL_rep1
chr12	6599900	6599950	12	CTRL_rep1
chr12	6599950	6600000	10	CTRL_rep1
chr12	6600000	6600050	10	CTRL_rep1
chr12	6600050	6600100	11	CTRL_rep1
chr12	6600100	6600150	13	CTRL_rep1
chr12	6600150	6600200	13	CTRL_rep1
chr12	6600200	6600250	13	CTRL_rep1
chr12	6600250	6600300	10	CTRL_rep1
chr12	6600300	6600350	11	CTRL_rep1
chr12	6600350	6600400	12	CTRL_rep1
chr12	6600400	6600450	12	CTRL_rep1
chr12	6600450	6600500	12	CTRL_rep1
chr12	6600500	6600550	11	CTRL_rep1
chr12	6600550	6600600	9	CTRL_rep1
chr12	6600600	6600650	11	CTRL_rep1
chr12	6600650	6600700	11	CTRL_rep1
chr12	6600700	6600750	13	CTRL_rep1
chr12	6600750	6600800	11	CTRL_rep1
chr12	6600800	6600850	11	CTRL_rep1
chr12	6600850	6600900	9	CTRL_rep1
chr12	6600900	6600950	13	CTRL_rep1
chr12	6600950	6601000	12	CTRL_rep1
chr12	6601000	6601050	12	CTRL_rep1
chr12	6601050	6601100	11	CTRL_rep1
chr12	6601100	6601150	12	CTRL_rep1
chr12	6601150	6601200	11	CTRL_rep1
chr12	6601200	6601250	9	CTRL_rep1
chr12	6601250	6601300	12	CTRL_rep1
chr12	6601300	6601350	7	CTRL_rep1
