feature_id	gene_symbol	gene_name	biotype	chromosome	start	end	strand	effect_size	significance	mean_expression	n_variants	top_consequence	pathway	ensembl_id	uniprot_id
GENE062	GENE062	pseudogene gene 062	pseudogene	chr7	9494000	9568120	+	-0.175	0.731	8.251	22	frameshift	Oxidative phosphorylation	ENSG00000000062	P00062
GENE063	GENE063	protein coding gene 063	protein_coding	chr12	9631000	9664281	-	0.348	0.223	9.18	22	stop_gained	Extracellular matrix	ENSG00000000063	P00063
GENE064	GENE064	lncRNA gene 064	lncRNA	chrX	9768000	9828217	+	1.178	3.56e-06	5.28	13	intronic	Unassigned	ENSG00000000064	P00064
GENE065	GENE065	pseudogene gene 065	pseudogene	chr1	9905000	9966458	+	-0.532	0.604	3.793	9	missense	Interferon signalling	ENSG00000000065	P00065
GENE066	GENE066	protein coding gene 066	protein_coding	chr2	10042000	10096763	-	0.004	0.688	8.561	22	synonymous	Cell cycle	ENSG00000000066	P00066
GENE067	GENE067	lncRNA gene 067	lncRNA	chr7	10179000	10249683	+	-0.399	0.262	4.026	14	frameshift	Oxidative phosphorylation	ENSG00000000067	P00067
GENE068	GENE068	pseudogene gene 068	pseudogene	chr12	10316000	10354355	+	2.932	8.03e-05	5.57	21	stop_gained	Extracellular matrix	ENSG00000000068	P00068
GENE069	GENE069	protein coding gene 069	protein_coding	chrX	10453000	10457452	-	-0.581	0.58	11.118	18	intronic	Unassigned	ENSG00000000069	P00069
GENE070	GENE070	lncRNA gene 070	lncRNA	chr1	10590000	10637450	+	-1.065	0.301	9.305	10	missense	Interferon signalling	ENSG00000000070	P00070
GENE071	GENE071	pseudogene gene 071	pseudogene	chr2	10727000	10771314	+	0.398	0.766	4.328	24	synonymous	Cell cycle	ENSG00000000071	P00071
GENE072	GENE072	protein coding gene 072	protein_coding	chr7	10864000	10908086	-	4.158	7.19e-05	10.537	11	frameshift	Oxidative phosphorylation	ENSG00000000072	P00072
GENE073	GENE073	lncRNA gene 073	lncRNA	chr12	11001000	11089307	+	-0.139	0.197	8.81	21	stop_gained	Extracellular matrix	ENSG00000000073	P00073
GENE074	GENE074	pseudogene gene 074	pseudogene	chrX	11138000	11179926	+	-0.331	0.461	8.08	1	intronic	Unassigned	ENSG00000000074	P00074
GENE075	GENE075	protein coding gene 075	protein_coding	chr1	11275000	11346328	-	0.575	0.753	9.152	4	missense	Interferon signalling	ENSG00000000075	P00075
GENE076	GENE076	lncRNA gene 076	lncRNA	chr2	11412000	11416594	+	1.94	5.9e-06	10.985	20	synonymous	Cell cycle	ENSG00000000076	P00076
GENE077	GENE077	pseudogene gene 077	pseudogene	chr7	11549000	11599444	+	0.287	0.384	4.899	12	frameshift	Oxidative phosphorylation	ENSG00000000077	P00077
GENE078	GENE078	protein coding gene 078	protein_coding	chr12	11686000	11691859	-	-1.201	0.707	1.692	22	stop_gained	Extracellular matrix	ENSG00000000078	P00078
GENE079	GENE079	lncRNA gene 079	lncRNA	chrX	11823000	11912177	+	-1.51	0.272	2.347	10	intronic	Unassigned	ENSG00000000079	P00079
GENE080	GENE080	pseudogene gene 080	pseudogene	chr1	11960000	11965953	+	2.718	9.04e-05	4.791	13	missense	Interferon signalling	ENSG00000000080	P00080
GENE081	GENE081	protein coding gene 081	protein_coding	chr2	12097000	12111634	-	-0.24	0.113	6.718	7	synonymous	Cell cycle	ENSG00000000081	P00081
GENE082	GENE082	lncRNA gene 082	lncRNA	chr7	12234000	12261458	+	0.582	0.743	4.26	14	frameshift	Oxidative phosphorylation	ENSG00000000082	P00082
GENE083	GENE083	pseudogene gene 083	pseudogene	chr12	12371000	12411091	+	-1.152	0.6	5.291	0	stop_gained	Extracellular matrix	ENSG00000000083	P00083
GENE084	GENE084	protein coding gene 084	protein_coding	chrX	12508000	12582702	-	3.516	2.9e-05	11.192	20	intronic	Unassigned	ENSG00000000084	P00084
GENE085	GENE085	lncRNA gene 085	lncRNA	chr1	12645000	12669075	+	-0.453	0.605	8.478	22	missense	Interferon signalling	ENSG00000000085	P00085
GENE086	GENE086	pseudogene gene 086	pseudogene	chr2	12782000	12816362	+	0.005	0.804	7.009	13	synonymous	Cell cycle	ENSG00000000086	P00086
GENE087	GENE087	protein coding gene 087	protein_coding	chr7	12919000	12991006	-	-0.097	0.486	3.589	0	frameshift	Oxidative phosphorylation	ENSG00000000087	P00087
GENE088	GENE088	lncRNA gene 088	lncRNA	chr12	13056000	13096782	+	2.264	7.29e-05	7.14	21	stop_gained	Extracellular matrix	ENSG00000000088	P00088
GENE089	GENE089	pseudogene gene 089	pseudogene	chrX	13193000	13224327	+	-1.032	0.946	6.211	20	intronic	Unassigned	ENSG00000000089	P00089
GENE090	GENE090	protein coding gene 090	protein_coding	chr1	13330000	13361321	-	0.871	0.0654	4.243	4	missense	Interferon signalling	ENSG00000000090	P00090
GENE091	GENE091	lncRNA gene 091	lncRNA	chr2	13467000	13477895	+	-0.548	0.73	9.906	9	synonymous	Cell cycle	ENSG00000000091	P00091
GENE092	GENE092	pseudogene gene 092	pseudogene	chr7	13604000	13612101	+	1.29	3.74e-05	4.422	11	frameshift	Oxidative phosphorylation	ENSG00000000092	P00092
GENE093	GENE093	protein coding gene 093	protein_coding	chr12	13741000	13816343	-	0.231	0.624	11.298	1	stop_gained	Extracellular matrix	ENSG00000000093	P00093
GENE094	GENE094	lncRNA gene 094	lncRNA	chrX	13878000	13914918	+	-0.198	0.461	4.707	22	intronic	Unassigned	ENSG00000000094	P00094
GENE095	GENE095	pseudogene gene 095	pseudogene	chr1	14015000	14089995	+	0.193	0.479	8.025	22	missense	Interferon signalling	ENSG00000000095	P00095
GENE096	GENE096	protein coding gene 096	protein_coding	chr2	14152000	14240026	-	2.98	6.86e-05	6.955	20	synonymous	Cell cycle	ENSG00000000096	P00096
GENE097	GENE097	lncRNA gene 097	lncRNA	chr7	14289000	14304833	+	0.199	0.0506	11.091	17	frameshift	Oxidative phosphorylation	ENSG00000000097	P00097
GENE098	GENE098	pseudogene gene 098	pseudogene	chr12	14426000	14490601	+	-0.258	0.879	6.232	20	stop_gained	Extracellular matrix	ENSG00000000098	P00098
GENE099	GENE099	protein coding gene 099	protein_coding	chrX	14563000	14575891	-	-0.059	0.079	2.9	7	intronic	Unassigned	ENSG00000000099	P00099
GENE100	GENE100	lncRNA gene 100	lncRNA	chr1	14700000	14785848	+	2.126	3.94e-06	5.699	7	missense	Interferon signalling	ENSG00000000100	P00100
GENE101	GENE101	pseudogene gene 101	pseudogene	chr2	14837000	14882797	+	0.021	0.202	6.99	22	synonymous	Cell cycle	ENSG00000000101	P00101
GENE102	GENE102	protein coding gene 102	protein_coding	chr7	14974000	14997393	-	1.159	0.305	3.567	22	frameshift	Oxidative phosphorylation	ENSG00000000102	P00102
GENE103	GENE103	lncRNA gene 103	lncRNA	chr12	15111000	15159744	+	-0.494	0.6	2.784	11	stop_gained	Extracellular matrix	ENSG00000000103	P00103
GENE104	GENE104	pseudogene gene 104	pseudogene	chrX	15248000	15320635	+	2.333	2.07e-05	2.705	18	intronic	Unassigned	ENSG00000000104	P00104
GENE105	GENE105	protein coding gene 105	protein_coding	chr1	15385000	15418988	-	-1.235	0.0668	3.323	24	missense	Interferon signalling	ENSG00000000105	P00105
GENE106	GENE106	lncRNA gene 106	lncRNA	chr2	15522000	15537120	+	0.322	0.599	1.691	8	synonymous	Cell cycle	ENSG00000000106	P00106
GENE107	GENE107	pseudogene gene 107	pseudogene	chr7	15659000	15715191	+	0.535	0.473	3.813	2	frameshift	Oxidative phosphorylation	ENSG00000000107	P00107
GENE108	GENE108	protein coding gene 108	protein_coding	chr12	15796000	15856666	-	1.343	3.24e-05	6.395	6	stop_gained	Extracellular matrix	ENSG00000000108	P00108
GENE109	GENE109	lncRNA gene 109	lncRNA	chrX	15933000	15969321	+	0.493	0.821	9.934	17	intronic	Unassigned	ENSG00000000109	P00109
GENE110	GENE110	pseudogene gene 110	pseudogene	chr1	16070000	16111610	+	0.59	0.13	5.472	11	missense	Interferon signalling	ENSG00000000110	P00110
GENE111	GENE111	protein coding gene 111	protein_coding	chr2	16207000	16215373	-	0.697	0.832	2.942	14	synonymous	Cell cycle	ENSG00000000111	P00111
GENE112	GENE112	lncRNA gene 112	lncRNA	chr7	16344000	16409920	+	2.492	8.13e-05	9.97	16	frameshift	Oxidative phosphorylation	ENSG00000000112	P00112
GENE113	GENE113	pseudogene gene 113	pseudogene	chr12	16481000	16531690	+	0.385	0.255	9.957	24	stop_gained	Extracellular matrix	ENSG00000000113	P00113
GENE114	GENE114	protein coding gene 114	protein_coding	chrX	16618000	16625643	-	-0.479	0.91	3.46	21	intronic	Unassigned	ENSG00000000114	P00114
GENE115	GENE115	lncRNA gene 115	lncRNA	chr1	16755000	16791143	+	-0.364	0.933	11.33	5	missense	Interferon signalling	ENSG00000000115	P00115
GENE116	GENE116	pseudogene gene 116	pseudogene	chr2	16892000	16969496	+	2.329	3.99e-05	9.204	19	synonymous	Cell cycle	ENSG00000000116	P00116
GENE117	GENE117	protein coding gene 117	protein_coding	chr7	17029000	17061246	-	-0.627	0.812	2.721	9	frameshift	Oxidative phosphorylation	ENSG00000000117	P00117
GENE118	GENE118	lncRNA gene 118	lncRNA	chr12	17166000	17178285	+	-0.194	0.205	10.136	11	stop_gained	Extracellular matrix	ENSG00000000118	P00118
GENE119	GENE119	pseudogene gene 119	pseudogene	chrX	17303000	17315485	+	-1.313	0.709	11.816	2	intronic	Unassigned	ENSG00000000119	P00119
