chrom	start	end	position	coverage	sample	gene_region
MN908947.3	13200	13400	13300	17264.03	SAMPLE_03	ORF1ab
MN908947.3	13400	13600	13500	667.52	SAMPLE_03	ORF1ab
MN908947.3	13600	13800	13700	643.58	SAMPLE_03	ORF1ab
MN908947.3	13800	14000	13900	1814.45	SAMPLE_03	ORF1ab
MN908947.3	14000	14200	14100	4722.82	SAMPLE_03	ORF1ab
MN908947.3	14200	14400	14300	5551.45	SAMPLE_03	ORF1ab
MN908947.3	14400	14600	14500	5515.42	SAMPLE_03	ORF1ab
MN908947.3	14600	14800	14700	7763.59	SAMPLE_03	ORF1ab
MN908947.3	14800	15000	14900	5342.25	SAMPLE_03	ORF1ab
MN908947.3	15000	15200	15100	1091.61	SAMPLE_03	ORF1ab
MN908947.3	15200	15400	15300	1720.65	SAMPLE_03	ORF1ab
MN908947.3	15400	15600	15500	5677.76	SAMPLE_03	ORF1ab
MN908947.3	15600	15800	15700	7782.14	SAMPLE_03	ORF1ab
MN908947.3	15800	16000	15900	11049.45	SAMPLE_03	ORF1ab
MN908947.3	16000	16200	16100	10535.04	SAMPLE_03	ORF1ab
MN908947.3	16200	16400	16300	1048.85	SAMPLE_03	ORF1ab
MN908947.3	16400	16600	16500	1330.99	SAMPLE_03	ORF1ab
MN908947.3	16600	16800	16700	2138.03	SAMPLE_03	ORF1ab
MN908947.3	16800	17000	16900	6015.74	SAMPLE_03	ORF1ab
MN908947.3	17000	17200	17100	16605.5	SAMPLE_03	ORF1ab
MN908947.3	17200	17400	17300	17515.31	SAMPLE_03	ORF1ab
MN908947.3	17400	17600	17500	8260.87	SAMPLE_03	ORF1ab
MN908947.3	17600	17800	17700	7510.95	SAMPLE_03	ORF1ab
MN908947.3	17800	18000	17900	5393.73	SAMPLE_03	ORF1ab
MN908947.3	18000	18200	18100	5143.68	SAMPLE_03	ORF1ab
MN908947.3	18200	18400	18300	6922.74	SAMPLE_03	ORF1ab
MN908947.3	18400	18600	18500	10466.07	SAMPLE_03	ORF1ab
MN908947.3	18600	18800	18700	16336.12	SAMPLE_03	ORF1ab
MN908947.3	18800	19000	18900	14440.93	SAMPLE_03	ORF1ab
MN908947.3	19000	19200	19100	3772.78	SAMPLE_03	ORF1ab
MN908947.3	19200	19400	19300	1557.25	SAMPLE_03	ORF1ab
MN908947.3	19400	19600	19500	163.78	SAMPLE_03	ORF1ab
MN908947.3	19600	19800	19700	1738.83	SAMPLE_03	ORF1ab
MN908947.3	19800	20000	19900	1438.7	SAMPLE_03	ORF1ab
MN908947.3	20000	20200	20100	235.78	SAMPLE_03	ORF1ab
MN908947.3	20200	20400	20300	140.86	SAMPLE_03	ORF1ab
MN908947.3	20400	20600	20500	3971.74	SAMPLE_03	ORF1ab
MN908947.3	20600	20800	20700	5908.34	SAMPLE_03	ORF1ab
MN908947.3	20800	21000	20900	10877.53	SAMPLE_03	ORF1ab
MN908947.3	21000	21200	21100	5782.63	SAMPLE_03	ORF1ab
MN908947.3	21200	21400	21300	247.43	SAMPLE_03	ORF1ab
MN908947.3	21400	21600	21500	193.74	SAMPLE_03	ORF1ab
MN908947.3	21600	21800	21700	4098.98	SAMPLE_03	S
MN908947.3	21800	22000	21900	4809.94	SAMPLE_03	S
MN908947.3	22000	22200	22100	1234.44	SAMPLE_03	S
MN908947.3	22200	22400	22300	701.93	SAMPLE_03	S
MN908947.3	22400	22600	22500	901.99	SAMPLE_03	S
MN908947.3	22600	22800	22700	2886.36	SAMPLE_03	S
MN908947.3	22800	23000	22900	1706.66	SAMPLE_03	S
MN908947.3	23000	23200	23100	3675.04	SAMPLE_03	S
MN908947.3	23200	23400	23300	11136.1	SAMPLE_03	S
MN908947.3	23400	23600	23500	11580.57	SAMPLE_03	S
MN908947.3	23600	23800	23700	3687.65	SAMPLE_03	S
MN908947.3	23800	24000	23900	1030.79	SAMPLE_03	S
MN908947.3	24000	24200	24100	2647.21	SAMPLE_03	S
MN908947.3	24200	24400	24300	3797.3	SAMPLE_03	S
MN908947.3	24400	24600	24500	2946.25	SAMPLE_03	S
MN908947.3	24600	24800	24700	8847.72	SAMPLE_03	S
MN908947.3	24800	25000	24900	12515.64	SAMPLE_03	S
MN908947.3	25000	25200	25100	12414.38	SAMPLE_03	S
MN908947.3	25200	25400	25300	12518.55	SAMPLE_03	S
MN908947.3	25400	25600	25500	6265.78	SAMPLE_03	ORF3a
MN908947.3	25600	25800	25700	1813.09	SAMPLE_03	ORF3a
MN908947.3	25800	26000	25900	447.29	SAMPLE_03	ORF3a
MN908947.3	26000	26200	26100	79.33	SAMPLE_03	ORF3a
MN908947.3	26200	26400	26300	2908.81	SAMPLE_03	E
MN908947.3	26400	26600	26500	4250.1	SAMPLE_03	intergenic
MN908947.3	26600	26800	26700	6547.73	SAMPLE_03	M
MN908947.3	26800	27000	26900	6380.09	SAMPLE_03	M
MN908947.3	27000	27200	27100	2099.72	SAMPLE_03	M
MN908947.3	27200	27400	27300	4161.83	SAMPLE_03	ORF6
MN908947.3	27400	27600	27500	2827.1	SAMPLE_03	ORF7a
MN908947.3	27600	27800	27700	12.92	SAMPLE_03	ORF7a
MN908947.3	27800	28000	27900	4496.64	SAMPLE_03	ORF8
MN908947.3	28000	28200	28100	7712.39	SAMPLE_03	ORF8
MN908947.3	28200	28400	28300	8588.3	SAMPLE_03	N
MN908947.3	28400	28600	28500	8594.5	SAMPLE_03	N
MN908947.3	28600	28800	28700	6014.63	SAMPLE_03	N
MN908947.3	28800	29000	28900	389.27	SAMPLE_03	N
MN908947.3	29000	29200	29100	4184.84	SAMPLE_03	N
MN908947.3	29200	29400	29300	4258.88	SAMPLE_03	N
MN908947.3	29400	29600	29500	2617.01	SAMPLE_03	N
MN908947.3	29600	29800	29700	4164.75	SAMPLE_03	3'UTR
MN908947.3	29800	29903	29851	1032.46	SAMPLE_03	3'UTR
MN908947.3	0	200	100	0.0	SAMPLE_01	5'UTR
MN908947.3	200	400	300	0.0	SAMPLE_01	ORF1ab
MN908947.3	400	600	500	0.0	SAMPLE_01	ORF1ab
MN908947.3	600	800	700	0.0	SAMPLE_01	ORF1ab
MN908947.3	800	1000	900	0.0	SAMPLE_01	ORF1ab
MN908947.3	1000	1200	1100	0.0	SAMPLE_01	ORF1ab
MN908947.3	1200	1400	1300	0.0	SAMPLE_01	ORF1ab
MN908947.3	1400	1600	1500	0.0	SAMPLE_01	ORF1ab
MN908947.3	1600	1800	1700	0.0	SAMPLE_01	ORF1ab
MN908947.3	1800	2000	1900	0.0	SAMPLE_01	ORF1ab
MN908947.3	2000	2200	2100	0.0	SAMPLE_01	ORF1ab
MN908947.3	2200	2400	2300	0.0	SAMPLE_01	ORF1ab
MN908947.3	2400	2600	2500	0.0	SAMPLE_01	ORF1ab
MN908947.3	2600	2800	2700	0.0	SAMPLE_01	ORF1ab
MN908947.3	2800	3000	2900	0.0	SAMPLE_01	ORF1ab
MN908947.3	3000	3200	3100	0.0	SAMPLE_01	ORF1ab
MN908947.3	3200	3400	3300	0.0	SAMPLE_01	ORF1ab
MN908947.3	3400	3600	3500	0.0	SAMPLE_01	ORF1ab
MN908947.3	3600	3800	3700	0.0	SAMPLE_01	ORF1ab
MN908947.3	3800	4000	3900	0.0	SAMPLE_01	ORF1ab
MN908947.3	4000	4200	4100	0.0	SAMPLE_01	ORF1ab
MN908947.3	4200	4400	4300	0.0	SAMPLE_01	ORF1ab
MN908947.3	4400	4600	4500	0.0	SAMPLE_01	ORF1ab
MN908947.3	4600	4800	4700	0.0	SAMPLE_01	ORF1ab
MN908947.3	4800	5000	4900	0.0	SAMPLE_01	ORF1ab
MN908947.3	5000	5200	5100	0.0	SAMPLE_01	ORF1ab
MN908947.3	5200	5400	5300	0.15	SAMPLE_01	ORF1ab
MN908947.3	5400	5600	5500	0.0	SAMPLE_01	ORF1ab
MN908947.3	5600	5800	5700	0.0	SAMPLE_01	ORF1ab
MN908947.3	5800	6000	5900	0.17	SAMPLE_01	ORF1ab
MN908947.3	6000	6200	6100	3.18	SAMPLE_01	ORF1ab
MN908947.3	6200	6400	6300	0.0	SAMPLE_01	ORF1ab
MN908947.3	6400	6600	6500	0.0	SAMPLE_01	ORF1ab
MN908947.3	6600	6800	6700	0.0	SAMPLE_01	ORF1ab
MN908947.3	6800	7000	6900	0.0	SAMPLE_01	ORF1ab
MN908947.3	7000	7200	7100	0.0	SAMPLE_01	ORF1ab
MN908947.3	7200	7400	7300	0.0	SAMPLE_01	ORF1ab
MN908947.3	7400	7600	7500	0.0	SAMPLE_01	ORF1ab
MN908947.3	7600	7800	7700	0.0	SAMPLE_01	ORF1ab
MN908947.3	7800	8000	7900	0.0	SAMPLE_01	ORF1ab
MN908947.3	8000	8200	8100	0.0	SAMPLE_01	ORF1ab
MN908947.3	8200	8400	8300	0.0	SAMPLE_01	ORF1ab
MN908947.3	8400	8600	8500	0.0	SAMPLE_01	ORF1ab
MN908947.3	8600	8800	8700	0.0	SAMPLE_01	ORF1ab
MN908947.3	8800	9000	8900	0.91	SAMPLE_01	ORF1ab
MN908947.3	9000	9200	9100	0.0	SAMPLE_01	ORF1ab
MN908947.3	9200	9400	9300	0.0	SAMPLE_01	ORF1ab
MN908947.3	9400	9600	9500	0.0	SAMPLE_01	ORF1ab
MN908947.3	9600	9800	9700	0.0	SAMPLE_01	ORF1ab
MN908947.3	9800	10000	9900	0.0	SAMPLE_01	ORF1ab
MN908947.3	10000	10200	10100	0.0	SAMPLE_01	ORF1ab
MN908947.3	10200	10400	10300	0.0	SAMPLE_01	ORF1ab
MN908947.3	10400	10600	10500	0.0	SAMPLE_01	ORF1ab
MN908947.3	10600	10800	10700	0.0	SAMPLE_01	ORF1ab
MN908947.3	10800	11000	10900	0.0	SAMPLE_01	ORF1ab
MN908947.3	11000	11200	11100	0.0	SAMPLE_01	ORF1ab
MN908947.3	11200	11400	11300	0.0	SAMPLE_01	ORF1ab
MN908947.3	11400	11600	11500	0.0	SAMPLE_01	ORF1ab
MN908947.3	11600	11800	11700	0.0	SAMPLE_01	ORF1ab
MN908947.3	11800	12000	11900	0.0	SAMPLE_01	ORF1ab
MN908947.3	12000	12200	12100	0.0	SAMPLE_01	ORF1ab
MN908947.3	12200	12400	12300	0.0	SAMPLE_01	ORF1ab
MN908947.3	12400	12600	12500	0.0	SAMPLE_01	ORF1ab
MN908947.3	12600	12800	12700	0.0	SAMPLE_01	ORF1ab
MN908947.3	12800	13000	12900	0.0	SAMPLE_01	ORF1ab
MN908947.3	13000	13200	13100	5618.93	SAMPLE_01	ORF1ab
MN908947.3	13200	13400	13300	5456.2	SAMPLE_01	ORF1ab
MN908947.3	13400	13600	13500	0.0	SAMPLE_01	ORF1ab
MN908947.3	13600	13800	13700	0.0	SAMPLE_01	ORF1ab
MN908947.3	13800	14000	13900	0.0	SAMPLE_01	ORF1ab
MN908947.3	14000	14200	14100	0.0	SAMPLE_01	ORF1ab
MN908947.3	14200	14400	14300	0.0	SAMPLE_01	ORF1ab
MN908947.3	14400	14600	14500	0.0	SAMPLE_01	ORF1ab
MN908947.3	14600	14800	14700	0.0	SAMPLE_01	ORF1ab
MN908947.3	14800	15000	14900	0.0	SAMPLE_01	ORF1ab
MN908947.3	15000	15200	15100	0.0	SAMPLE_01	ORF1ab
MN908947.3	15200	15400	15300	0.0	SAMPLE_01	ORF1ab
MN908947.3	15400	15600	15500	0.0	SAMPLE_01	ORF1ab
MN908947.3	15600	15800	15700	0.0	SAMPLE_01	ORF1ab
MN908947.3	15800	16000	15900	0.0	SAMPLE_01	ORF1ab
MN908947.3	16000	16200	16100	0.0	SAMPLE_01	ORF1ab
MN908947.3	16200	16400	16300	0.0	SAMPLE_01	ORF1ab
MN908947.3	16400	16600	16500	0.0	SAMPLE_01	ORF1ab
MN908947.3	16600	16800	16700	0.0	SAMPLE_01	ORF1ab
MN908947.3	16800	17000	16900	0.0	SAMPLE_01	ORF1ab
MN908947.3	17000	17200	17100	0.0	SAMPLE_01	ORF1ab
MN908947.3	17200	17400	17300	0.0	SAMPLE_01	ORF1ab
MN908947.3	17400	17600	17500	0.0	SAMPLE_01	ORF1ab
MN908947.3	17600	17800	17700	0.0	SAMPLE_01	ORF1ab
MN908947.3	17800	18000	17900	0.0	SAMPLE_01	ORF1ab
MN908947.3	18000	18200	18100	0.0	SAMPLE_01	ORF1ab
MN908947.3	18200	18400	18300	0.0	SAMPLE_01	ORF1ab
MN908947.3	18400	18600	18500	0.0	SAMPLE_01	ORF1ab
MN908947.3	18600	18800	18700	0.0	SAMPLE_01	ORF1ab
MN908947.3	18800	19000	18900	0.0	SAMPLE_01	ORF1ab
MN908947.3	19000	19200	19100	0.0	SAMPLE_01	ORF1ab
MN908947.3	19200	19400	19300	0.0	SAMPLE_01	ORF1ab
MN908947.3	19400	19600	19500	0.0	SAMPLE_01	ORF1ab
MN908947.3	19600	19800	19700	0.0	SAMPLE_01	ORF1ab
MN908947.3	19800	20000	19900	0.0	SAMPLE_01	ORF1ab
MN908947.3	20000	20200	20100	0.0	SAMPLE_01	ORF1ab
MN908947.3	20200	20400	20300	0.0	SAMPLE_01	ORF1ab
MN908947.3	20400	20600	20500	0.0	SAMPLE_01	ORF1ab
MN908947.3	20600	20800	20700	0.0	SAMPLE_01	ORF1ab
MN908947.3	20800	21000	20900	0.0	SAMPLE_01	ORF1ab
MN908947.3	21000	21200	21100	0.0	SAMPLE_01	ORF1ab
MN908947.3	21200	21400	21300	0.0	SAMPLE_01	ORF1ab
MN908947.3	21400	21600	21500	0.0	SAMPLE_01	ORF1ab
MN908947.3	21600	21800	21700	0.0	SAMPLE_01	S
MN908947.3	21800	22000	21900	0.0	SAMPLE_01	S
MN908947.3	22000	22200	22100	0.0	SAMPLE_01	S
MN908947.3	22200	22400	22300	0.0	SAMPLE_01	S
MN908947.3	22400	22600	22500	0.0	SAMPLE_01	S
MN908947.3	22600	22800	22700	0.0	SAMPLE_01	S
MN908947.3	22800	23000	22900	0.0	SAMPLE_01	S
MN908947.3	23000	23200	23100	0.0	SAMPLE_01	S
MN908947.3	23200	23400	23300	0.0	SAMPLE_01	S
MN908947.3	23400	23600	23500	0.0	SAMPLE_01	S
MN908947.3	23600	23800	23700	0.0	SAMPLE_01	S
MN908947.3	23800	24000	23900	0.0	SAMPLE_01	S
MN908947.3	24000	24200	24100	0.0	SAMPLE_01	S
MN908947.3	24200	24400	24300	0.0	SAMPLE_01	S
MN908947.3	24400	24600	24500	0.0	SAMPLE_01	S
MN908947.3	24600	24800	24700	0.0	SAMPLE_01	S
MN908947.3	24800	25000	24900	0.0	SAMPLE_01	S
MN908947.3	25000	25200	25100	0.0	SAMPLE_01	S
MN908947.3	25200	25400	25300	0.0	SAMPLE_01	S
MN908947.3	25400	25600	25500	0.0	SAMPLE_01	ORF3a
MN908947.3	25600	25800	25700	0.0	SAMPLE_01	ORF3a
MN908947.3	25800	26000	25900	0.0	SAMPLE_01	ORF3a
MN908947.3	26000	26200	26100	0.0	SAMPLE_01	ORF3a
MN908947.3	26200	26400	26300	0.0	SAMPLE_01	E
MN908947.3	26400	26600	26500	0.0	SAMPLE_01	intergenic
MN908947.3	26600	26800	26700	0.0	SAMPLE_01	M
MN908947.3	26800	27000	26900	0.0	SAMPLE_01	M
MN908947.3	27000	27200	27100	0.0	SAMPLE_01	M
MN908947.3	27200	27400	27300	0.0	SAMPLE_01	ORF6
MN908947.3	27400	27600	27500	0.0	SAMPLE_01	ORF7a
MN908947.3	27600	27800	27700	0.0	SAMPLE_01	ORF7a
MN908947.3	27800	28000	27900	0.0	SAMPLE_01	ORF8
MN908947.3	28000	28200	28100	0.0	SAMPLE_01	ORF8
MN908947.3	28200	28400	28300	0.0	SAMPLE_01	N
MN908947.3	28400	28600	28500	0.0	SAMPLE_01	N
MN908947.3	28600	28800	28700	0.0	SAMPLE_01	N
MN908947.3	28800	29000	28900	0.0	SAMPLE_01	N
MN908947.3	29000	29200	29100	0.0	SAMPLE_01	N
MN908947.3	29200	29400	29300	0.0	SAMPLE_01	N
MN908947.3	29400	29600	29500	0.0	SAMPLE_01	N
MN908947.3	29600	29800	29700	0.15	SAMPLE_01	3'UTR
MN908947.3	29800	29903	29851	0.0	SAMPLE_01	3'UTR
MN908947.3	0	200	100	1056.87	SAMPLE_04	5'UTR
MN908947.3	200	400	300	2577.98	SAMPLE_04	ORF1ab
MN908947.3	400	600	500	4348.23	SAMPLE_04	ORF1ab
MN908947.3	600	800	700	5548.57	SAMPLE_04	ORF1ab
MN908947.3	800	1000	900	3555.77	SAMPLE_04	ORF1ab
MN908947.3	1000	1200	1100	2481.48	SAMPLE_04	ORF1ab
MN908947.3	1200	1400	1300	2627.19	SAMPLE_04	ORF1ab
MN908947.3	1400	1600	1500	1770.41	SAMPLE_04	ORF1ab
MN908947.3	1600	1800	1700	2107.59	SAMPLE_04	ORF1ab
MN908947.3	1800	2000	1900	3348.51	SAMPLE_04	ORF1ab
MN908947.3	2000	2200	2100	3596.08	SAMPLE_04	ORF1ab
MN908947.3	2200	2400	2300	3591.26	SAMPLE_04	ORF1ab
MN908947.3	2400	2600	2500	5247.48	SAMPLE_04	ORF1ab
MN908947.3	2600	2800	2700	3890.2	SAMPLE_04	ORF1ab
MN908947.3	2800	3000	2900	6684.88	SAMPLE_04	ORF1ab
MN908947.3	3000	3200	3100	5730.62	SAMPLE_04	ORF1ab
MN908947.3	3200	3400	3300	3143.54	SAMPLE_04	ORF1ab
MN908947.3	3400	3600	3500	3375.95	SAMPLE_04	ORF1ab
MN908947.3	3600	3800	3700	1996.95	SAMPLE_04	ORF1ab
MN908947.3	3800	4000	3900	3716.5	SAMPLE_04	ORF1ab
MN908947.3	4000	4200	4100	6698.33	SAMPLE_04	ORF1ab
MN908947.3	4200	4400	4300	8610.08	SAMPLE_04	ORF1ab
MN908947.3	4400	4600	4500	5830.28	SAMPLE_04	ORF1ab
MN908947.3	4600	4800	4700	4611.13	SAMPLE_04	ORF1ab
MN908947.3	4800	5000	4900	3730.13	SAMPLE_04	ORF1ab
MN908947.3	5000	5200	5100	1720.51	SAMPLE_04	ORF1ab
MN908947.3	5200	5400	5300	5657.96	SAMPLE_04	ORF1ab
MN908947.3	5400	5600	5500	7260.79	SAMPLE_04	ORF1ab
MN908947.3	5600	5800	5700	6478.85	SAMPLE_04	ORF1ab
MN908947.3	5800	6000	5900	4138.43	SAMPLE_04	ORF1ab
MN908947.3	6000	6200	6100	2817.34	SAMPLE_04	ORF1ab
MN908947.3	6200	6400	6300	12607.89	SAMPLE_04	ORF1ab
MN908947.3	6400	6600	6500	8525.84	SAMPLE_04	ORF1ab
MN908947.3	6600	6800	6700	4549.58	SAMPLE_04	ORF1ab
MN908947.3	6800	7000	6900	2339.92	SAMPLE_04	ORF1ab
MN908947.3	7000	7200	7100	4330.22	SAMPLE_04	ORF1ab
MN908947.3	7200	7400	7300	5510.09	SAMPLE_04	ORF1ab
MN908947.3	7400	7600	7500	5964.99	SAMPLE_04	ORF1ab
MN908947.3	7600	7800	7700	5644.63	SAMPLE_04	ORF1ab
MN908947.3	7800	8000	7900	5008.1	SAMPLE_04	ORF1ab
MN908947.3	8000	8200	8100	5244.98	SAMPLE_04	ORF1ab
MN908947.3	8200	8400	8300	5823.14	SAMPLE_04	ORF1ab
MN908947.3	8400	8600	8500	3719.07	SAMPLE_04	ORF1ab
MN908947.3	8600	8800	8700	4440.38	SAMPLE_04	ORF1ab
MN908947.3	8800	9000	8900	5309.96	SAMPLE_04	ORF1ab
MN908947.3	9000	9200	9100	4599.09	SAMPLE_04	ORF1ab
MN908947.3	9200	9400	9300	7708.21	SAMPLE_04	ORF1ab
MN908947.3	9400	9600	9500	10776.18	SAMPLE_04	ORF1ab
MN908947.3	9600	9800	9700	6819.58	SAMPLE_04	ORF1ab
MN908947.3	9800	10000	9900	4049.98	SAMPLE_04	ORF1ab
MN908947.3	10000	10200	10100	5006.3	SAMPLE_04	ORF1ab
MN908947.3	10200	10400	10300	3915.24	SAMPLE_04	ORF1ab
MN908947.3	10400	10600	10500	4757.19	SAMPLE_04	ORF1ab
MN908947.3	10600	10800	10700	7839.77	SAMPLE_04	ORF1ab
MN908947.3	10800	11000	10900	6555.6	SAMPLE_04	ORF1ab
MN908947.3	11000	11200	11100	7129.74	SAMPLE_04	ORF1ab
MN908947.3	11200	11400	11300	11243.6	SAMPLE_04	ORF1ab
MN908947.3	11400	11600	11500	7677.76	SAMPLE_04	ORF1ab
MN908947.3	11600	11800	11700	7437.19	SAMPLE_04	ORF1ab
MN908947.3	11800	12000	11900	4705.04	SAMPLE_04	ORF1ab
MN908947.3	12000	12200	12100	5009.13	SAMPLE_04	ORF1ab
MN908947.3	12200	12400	12300	5091.89	SAMPLE_04	ORF1ab
MN908947.3	12400	12600	12500	6893.31	SAMPLE_04	ORF1ab
MN908947.3	12600	12800	12700	7672.23	SAMPLE_04	ORF1ab
MN908947.3	12800	13000	12900	3905.41	SAMPLE_04	ORF1ab
MN908947.3	13000	13200	13100	14795.62	SAMPLE_04	ORF1ab
MN908947.3	13200	13400	13300	15080.08	SAMPLE_04	ORF1ab
MN908947.3	13400	13600	13500	5658.37	SAMPLE_04	ORF1ab
MN908947.3	13600	13800	13700	5007.3	SAMPLE_04	ORF1ab
MN908947.3	13800	14000	13900	4346.48	SAMPLE_04	ORF1ab
MN908947.3	14000	14200	14100	4094.34	SAMPLE_04	ORF1ab
MN908947.3	14200	14400	14300	3938.77	SAMPLE_04	ORF1ab
MN908947.3	14400	14600	14500	3435.57	SAMPLE_04	ORF1ab
MN908947.3	14600	14800	14700	4833.0	SAMPLE_04	ORF1ab
MN908947.3	14800	15000	14900	4430.24	SAMPLE_04	ORF1ab
MN908947.3	15000	15200	15100	2092.91	SAMPLE_04	ORF1ab
MN908947.3	15200	15400	15300	4387.71	SAMPLE_04	ORF1ab
MN908947.3	15400	15600	15500	5243.2	SAMPLE_04	ORF1ab
MN908947.3	15600	15800	15700	3664.76	SAMPLE_04	ORF1ab
MN908947.3	15800	16000	15900	5775.44	SAMPLE_04	ORF1ab
MN908947.3	16000	16200	16100	6846.86	SAMPLE_04	ORF1ab
MN908947.3	16200	16400	16300	5145.77	SAMPLE_04	ORF1ab
MN908947.3	16400	16600	16500	4653.48	SAMPLE_04	ORF1ab
MN908947.3	16600	16800	16700	4544.57	SAMPLE_04	ORF1ab
MN908947.3	16800	17000	16900	6764.4	SAMPLE_04	ORF1ab
MN908947.3	17000	17200	17100	10300.49	SAMPLE_04	ORF1ab
MN908947.3	17200	17400	17300	7136.23	SAMPLE_04	ORF1ab
MN908947.3	17400	17600	17500	4778.9	SAMPLE_04	ORF1ab
MN908947.3	17600	17800	17700	4776.47	SAMPLE_04	ORF1ab
MN908947.3	17800	18000	17900	3165.54	SAMPLE_04	ORF1ab
MN908947.3	18000	18200	18100	5207.14	SAMPLE_04	ORF1ab
