sample	chrom	start	end	log2	baf	copy_number	segment	label
TUMOUR_A	chr1	3820000	3840000	0.022	0.452	2	bin	
TUMOUR_A	chr1	3840000	3860000	0.052	0.424	2	bin	
TUMOUR_A	chr1	3860000	3880000	-0.237	0.421	2	bin	
TUMOUR_A	chr1	3880000	3900000	0.092	0.526	2	bin	
TUMOUR_A	chr1	3900000	3920000	-0.012	0.431	2	bin	
TUMOUR_A	chr1	3920000	3940000	-0.172	0.455	2	bin	
TUMOUR_A	chr1	3940000	3960000	-0.031	0.487	2	bin	
TUMOUR_A	chr1	3960000	3980000	0.099	0.443	2	bin	
TUMOUR_A	chr1	3980000	4000000	0.09	0.482	2	bin	
TUMOUR_A	chr1	4000000	4020000	-0.002	0.496	2	bin	
TUMOUR_A	chr1	4020000	4040000	0.07	0.489	2	bin	
TUMOUR_A	chr1	4040000	4060000	0.024	0.527	2	bin	
TUMOUR_A	chr1	4060000	4080000	-0.023	0.528	2	bin	
TUMOUR_A	chr1	4080000	4100000	-0.121	0.541	2	bin	
TUMOUR_A	chr1	4100000	4120000	-0.104	0.528	2	bin	
TUMOUR_A	chr1	4120000	4140000	0.121	0.491	2	bin	
TUMOUR_A	chr1	4140000	4160000	-0.142	0.542	2	bin	
TUMOUR_A	chr1	4160000	4180000	-0.126	0.523	2	bin	
TUMOUR_A	chr1	4180000	4200000	-0.042	0.445	2	bin	
TUMOUR_A	chr1	4200000	4220000	-0.066	0.543	2	bin	
TUMOUR_A	chr1	4220000	4240000	-0.1	0.482	2	bin	
TUMOUR_A	chr1	4240000	4260000	-0.214	0.476	2	bin	
TUMOUR_A	chr1	4260000	4280000	-0.005	0.477	2	bin	
TUMOUR_A	chr1	4280000	4300000	0.108	0.481	2	bin	
TUMOUR_A	chr1	4300000	4320000	0.044	0.525	2	bin	
TUMOUR_A	chr1	4320000	4340000	-0.03	0.491	2	bin	
TUMOUR_A	chr1	4340000	4360000	-0.015	0.494	2	bin	
TUMOUR_A	chr1	4360000	4380000	0.006	0.479	2	bin	
TUMOUR_A	chr1	4380000	4400000	0.116	0.531	2	bin	
TUMOUR_A	chr1	4400000	4420000	-0.087	0.498	2	bin	
TUMOUR_A	chr1	4420000	4440000	-0.054	0.555	2	bin	
TUMOUR_A	chr1	4440000	4460000	-0.08	0.485	2	bin	
TUMOUR_A	chr1	4460000	4480000	-0.019	0.56	2	bin	
TUMOUR_A	chr1	4480000	4500000	0.123	0.584	2	bin	
TUMOUR_A	chr1	4500000	4520000	0.069	0.496	2	bin	
TUMOUR_A	chr1	4520000	4540000	-0.042	0.512	2	bin	
TUMOUR_A	chr1	4540000	4560000	-0.232	0.386	2	bin	
TUMOUR_A	chr1	4560000	4580000	-0.004	0.5	2	bin	
TUMOUR_A	chr1	4580000	4600000	0.194	0.52	2	bin	
TUMOUR_A	chr1	4600000	4620000	-0.172	0.468	2	bin	
TUMOUR_A	chr1	4620000	4640000	-0.237	0.517	2	bin	
TUMOUR_A	chr1	4640000	4660000	0.145	0.456	2	bin	
TUMOUR_A	chr1	4660000	4680000	-0.091	0.474	2	bin	
TUMOUR_A	chr1	4680000	4700000	-0.122	0.567	2	bin	
TUMOUR_A	chr1	4700000	4720000	-0.061	0.519	2	bin	
TUMOUR_A	chr1	4720000	4740000	-0.039	0.5	2	bin	
TUMOUR_A	chr1	4740000	4760000	0.11	0.49	2	bin	
TUMOUR_A	chr1	4760000	4780000	-0.011	0.47	2	bin	
TUMOUR_A	chr1	4780000	4800000	0.071	0.461	2	bin	
TUMOUR_A	chr1	4800000	4820000	0.167	0.458	2	bin	
TUMOUR_A	chr1	4820000	4840000	-0.028	0.464	2	bin	
TUMOUR_A	chr1	4840000	4860000	-0.009	0.547	2	bin	
TUMOUR_A	chr1	4860000	4880000	-0.072	0.495	2	bin	
TUMOUR_A	chr1	4880000	4900000	-0.003	0.494	2	bin	
TUMOUR_A	chr1	4900000	4920000	0.042	0.538	2	bin	
TUMOUR_A	chr1	4920000	4940000	0.072	0.449	2	bin	
TUMOUR_A	chr1	4940000	4960000	0.135	0.468	2	bin	
TUMOUR_A	chr1	4960000	4980000	0.115	0.517	2	bin	
TUMOUR_A	chr1	4980000	5000000	-0.184	0.487	2	bin	
TUMOUR_A	chr1	5000000	5020000	0.026	0.506	2	bin	
TUMOUR_A	chr1	5020000	5040000	0.144	0.546	2	bin	
TUMOUR_A	chr1	5040000	5060000	0.246	0.468	2	bin	
TUMOUR_A	chr1	5060000	5080000	0.179	0.444	2	bin	
TUMOUR_A	chr1	5080000	5100000	0.018	0.501	2	bin	
TUMOUR_A	chr1	5100000	5120000	-0.005	0.521	2	bin	
TUMOUR_A	chr1	5120000	5140000	-0.011	0.503	2	bin	
TUMOUR_A	chr1	5140000	5160000	-0.119	0.465	2	bin	
TUMOUR_A	chr1	5160000	5180000	-0.103	0.566	2	bin	
TUMOUR_A	chr1	5180000	5200000	0.006	0.449	2	bin	
TUMOUR_A	chr1	5200000	5220000	-0.137	0.543	2	bin	
TUMOUR_A	chr1	5220000	5240000	0.075	0.49	2	bin	
TUMOUR_A	chr1	5240000	5260000	0.039	0.459	2	bin	
TUMOUR_A	chr1	5260000	5280000	-0.069	0.507	2	bin	
TUMOUR_A	chr1	5280000	5300000	0.065	0.516	2	bin	
TUMOUR_A	chr1	5300000	5320000	0.155	0.48	2	bin	
TUMOUR_A	chr1	5320000	5340000	-0.021	0.497	2	bin	
TUMOUR_A	chr1	5340000	5360000	0.027	0.557	2	bin	
TUMOUR_A	chr1	5360000	5380000	0.031	0.496	2	bin	
TUMOUR_A	chr1	5380000	5400000	-0.056	0.515	2	bin	
TUMOUR_A	chr1	5400000	5420000	-0.175	0.423	2	bin	
TUMOUR_A	chr1	5420000	5440000	0.098	0.523	2	bin	
TUMOUR_A	chr1	5440000	5460000	0.09	0.481	2	bin	
TUMOUR_A	chr1	5460000	5480000	0.18	0.527	2	bin	
TUMOUR_A	chr1	5480000	5500000	0.159	0.51	2	bin	
TUMOUR_A	chr1	5500000	5520000	-0.129	0.463	2	bin	
TUMOUR_A	chr1	5520000	5540000	0.021	0.494	2	bin	
TUMOUR_A	chr1	5540000	5560000	-0.112	0.476	2	bin	
TUMOUR_A	chr1	5560000	5580000	0.006	0.476	2	bin	
TUMOUR_A	chr1	5580000	5600000	-0.057	0.434	2	bin	
TUMOUR_A	chr1	5600000	5620000	0.127	0.503	2	bin	
TUMOUR_A	chr1	5620000	5640000	-0.067	0.483	2	bin	
TUMOUR_A	chr1	5640000	5660000	-0.056	0.459	2	bin	
TUMOUR_A	chr1	5660000	5680000	0.01	0.464	2	bin	
TUMOUR_A	chr1	5680000	5700000	-0.028	0.56	2	bin	
TUMOUR_A	chr1	5700000	5720000	-0.153	0.527	2	bin	
TUMOUR_A	chr1	5720000	5740000	-0.056	0.522	2	bin	
TUMOUR_A	chr1	5740000	5760000	0.078	0.56	2	bin	
TUMOUR_A	chr1	5760000	5780000	-0.147	0.538	2	bin	
TUMOUR_A	chr1	5780000	5800000	-0.052	0.492	2	bin	
TUMOUR_A	chr1	5800000	5820000	0.018	0.514	2	bin	
TUMOUR_A	chr1	5820000	5840000	0.118	0.483	2	bin	
TUMOUR_A	chr1	5840000	5860000	0.115	0.476	2	bin	
TUMOUR_A	chr1	5860000	5880000	0.145	0.489	2	bin	
TUMOUR_A	chr1	5880000	5900000	0.117	0.453	2	bin	
TUMOUR_A	chr1	5900000	5920000	-0.027	0.482	2	bin	
TUMOUR_A	chr1	5920000	5940000	-0.116	0.493	2	bin	
TUMOUR_A	chr1	5940000	5960000	-0.24	0.484	2	bin	
TUMOUR_A	chr1	5960000	5980000	0.027	0.517	2	bin	
TUMOUR_A	chr1	5980000	6000000	0.011	0.527	2	bin	
TUMOUR_A	chr1	6000000	6020000	0.144	0.513	2	bin	
TUMOUR_A	chr1	6020000	6040000	-0.052	0.489	2	bin	
TUMOUR_A	chr1	6040000	6060000	0.054	0.514	2	bin	
TUMOUR_A	chr1	6060000	6080000	-0.126	0.515	2	bin	
TUMOUR_A	chr1	6080000	6100000	-0.009	0.504	2	bin	
TUMOUR_A	chr1	6100000	6120000	0.188	0.481	2	bin	
TUMOUR_A	chr1	6120000	6140000	-0.073	0.507	2	bin	
TUMOUR_A	chr1	6140000	6160000	-0.091	0.549	2	bin	
TUMOUR_A	chr1	6160000	6180000	0.087	0.49	2	bin	
TUMOUR_A	chr1	6180000	6200000	0.013	0.492	2	bin	
TUMOUR_A	chr1	6200000	6220000	-0.006	0.509	2	bin	
TUMOUR_A	chr1	6220000	6240000	0.034	0.466	2	bin	
TUMOUR_A	chr1	6240000	6260000	-0.144	0.491	2	bin	
TUMOUR_A	chr1	6260000	6280000	0.022	0.47	2	bin	
TUMOUR_A	chr1	6280000	6300000	-0.186	0.46	2	bin	
TUMOUR_A	chr1	6300000	6320000	-0.17	0.533	2	bin	
TUMOUR_A	chr1	6320000	6340000	-0.11	0.532	2	bin	
TUMOUR_A	chr1	6340000	6360000	-0.04	0.484	2	bin	
TUMOUR_A	chr1	6360000	6380000	0.122	0.505	2	bin	
TUMOUR_A	chr1	6380000	6400000	-0.13	0.535	2	bin	
TUMOUR_A	chr1	6400000	6420000	0.014	0.551	2	bin	
TUMOUR_A	chr1	6420000	6440000	-0.057	0.47	2	bin	
TUMOUR_A	chr1	6440000	6460000	0.035	0.493	2	bin	
TUMOUR_A	chr1	6460000	6480000	-0.003	0.545	2	bin	
TUMOUR_A	chr1	6480000	6500000	-0.016	0.514	2	bin	
TUMOUR_A	chr1	6500000	6520000	-0.149	0.492	2	bin	
TUMOUR_A	chr1	6520000	6540000	0.02	0.488	2	bin	
TUMOUR_A	chr1	6540000	6560000	-0.099	0.426	2	bin	
TUMOUR_A	chr1	6560000	6580000	-0.187	0.538	2	bin	
TUMOUR_A	chr1	6580000	6600000	0.045	0.514	2	bin	
TUMOUR_A	chr1	6600000	6620000	0.016	0.494	2	bin	
TUMOUR_A	chr1	6620000	6640000	-0.358	0.528	2	bin	
TUMOUR_A	chr1	6640000	6660000	-0.132	0.551	2	bin	
TUMOUR_A	chr1	6660000	6680000	-0.052	0.548	2	bin	
TUMOUR_A	chr1	6680000	6700000	-0.141	0.456	2	bin	
TUMOUR_A	chr1	6700000	6720000	0.046	0.54	2	bin	
TUMOUR_A	chr1	6720000	6740000	-0.046	0.427	2	bin	
TUMOUR_A	chr1	6740000	6760000	-0.088	0.52	2	bin	
TUMOUR_A	chr1	6760000	6780000	-0.036	0.489	2	bin	
TUMOUR_A	chr1	6780000	6800000	0.217	0.411	2	bin	
TUMOUR_A	chr1	6800000	6820000	0.174	0.477	2	bin	
TUMOUR_A	chr1	6820000	6840000	-0.033	0.559	2	bin	
TUMOUR_A	chr1	6840000	6860000	0.053	0.498	2	bin	
TUMOUR_A	chr1	6860000	6880000	0.019	0.428	2	bin	
TUMOUR_A	chr1	6880000	6900000	-0.084	0.435	2	bin	
TUMOUR_A	chr1	6900000	6920000	0.049	0.437	2	bin	
TUMOUR_A	chr1	6920000	6940000	-0.079	0.542	2	bin	
TUMOUR_A	chr1	6940000	6960000	0.017	0.472	2	bin	
TUMOUR_A	chr1	6960000	6980000	-0.118	0.462	2	bin	
TUMOUR_A	chr1	6980000	7000000	-0.113	0.547	2	bin	
TUMOUR_A	chr1	7000000	7020000	-0.068	0.487	2	bin	
TUMOUR_A	chr1	7020000	7040000	-0.073	0.525	2	bin	
TUMOUR_A	chr1	7040000	7060000	-0.091	0.522	2	bin	
TUMOUR_A	chr1	7060000	7080000	-0.058	0.521	2	bin	
TUMOUR_A	chr1	7080000	7100000	0.082	0.518	2	bin	
TUMOUR_A	chr1	7100000	7120000	0.106	0.482	2	bin	
TUMOUR_A	chr1	7120000	7140000	0.015	0.514	2	bin	
TUMOUR_A	chr1	7140000	7160000	0.043	0.481	2	bin	
TUMOUR_A	chr1	7160000	7180000	-0.059	0.484	2	bin	
TUMOUR_A	chr1	7180000	7200000	0.147	0.479	2	bin	
TUMOUR_A	chr1	7200000	7220000	0.013	0.551	2	bin	
TUMOUR_A	chr1	7220000	7240000	0.248	0.476	2	bin	
TUMOUR_A	chr1	7240000	7260000	-0.085	0.478	2	bin	
TUMOUR_A	chr1	7260000	7280000	0.01	0.552	2	bin	
TUMOUR_A	chr1	7280000	7300000	0.23	0.494	2	bin	
TUMOUR_A	chr1	7300000	7320000	-0.205	0.478	2	bin	
TUMOUR_A	chr1	7320000	7340000	0.061	0.523	2	bin	
TUMOUR_A	chr1	7340000	7360000	-0.144	0.49	2	bin	
TUMOUR_A	chr1	7360000	7380000	-0.077	0.566	2	bin	
TUMOUR_A	chr1	7380000	7400000	0.152	0.449	2	bin	
TUMOUR_A	chr1	7400000	7420000	0.002	0.451	2	bin	
TUMOUR_A	chr1	7420000	7440000	0.023	0.518	2	bin	
TUMOUR_A	chr1	7440000	7460000	0.363	0.533	2	bin	
TUMOUR_A	chr1	7460000	7480000	-0.14	0.493	2	bin	
TUMOUR_A	chr1	7480000	7500000	0.018	0.521	2	bin	
TUMOUR_A	chr1	7500000	7520000	-0.007	0.466	2	bin	
TUMOUR_A	chr1	7520000	7540000	0.082	0.553	2	bin	
TUMOUR_A	chr1	7540000	7560000	0.221	0.468	2	bin	
TUMOUR_A	chr1	7560000	7580000	0.027	0.478	2	bin	
TUMOUR_A	chr1	7580000	7600000	0.143	0.474	2	bin	
TUMOUR_A	chr1	7600000	7620000	-0.051	0.524	2	bin	
TUMOUR_A	chr1	7620000	7640000	0.012	0.494	2	bin	
TUMOUR_A	chr1	7640000	7660000	0.035	0.461	2	bin	
TUMOUR_A	chr1	7660000	7680000	0.105	0.505	2	bin	
TUMOUR_A	chr1	7680000	7700000	-0.068	0.585	2	bin	
TUMOUR_A	chr1	7700000	7720000	-0.076	0.426	2	bin	
TUMOUR_A	chr1	7720000	7740000	-0.169	0.488	2	bin	
TUMOUR_A	chr1	7740000	7760000	0.073	0.473	2	bin	
TUMOUR_A	chr1	7760000	7780000	-0.007	0.512	2	bin	
TUMOUR_A	chr1	7780000	7800000	0.043	0.466	2	bin	
TUMOUR_A	chr1	7800000	7820000	0.054	0.45	2	bin	
TUMOUR_A	chr1	7820000	7840000	0.17	0.512	2	bin	
TUMOUR_A	chr1	7840000	7860000	0.016	0.489	2	bin	
TUMOUR_A	chr1	7860000	7880000	0.033	0.537	2	bin	
TUMOUR_A	chr1	7880000	7900000	-0.049	0.519	2	bin	
