sample	peak_id	chr	start	end	strand	peak_score	annotation_class	annotation	distance_to_tss	nearest_promoter_id	gene_name	gene_type
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_40431	chr4	181373884	181374004	+	81.0	Intergenic	Intergenic	706358	LINC00290	LINC00290
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_47072	chr7	117427301	117427425	+	67.0	intron	intron (CTTNBP2, intron 4 of 22)	86198	CTTNBP2	CTTNBP2
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_53713	chr9	139519553	139520245	+	132.0	Intergenic	Intergenic	-33409	EGFL7	EGFL7
FOXA1_IP_E2_R1	FOXA1_IP_E2_R1_peak_5612	chr12	113177593	113177728	+	63.0	Intergenic	Intergenic	-44679	MIR1302-1	MIR1302-1
FOXA1_IP_E2_R1	FOXA1_IP_E2_R1_peak_12253	chr2	164634907	164635091	+	88.0	Intergenic	Intergenic	-42486	FIGN	FIGN
FOXA1_IP_E2_R1	FOXA1_IP_E2_R1_peak_18894	chr5	171960411	171960575	+	127.0	Intergenic	Intergenic	-78966	SH3PXD2B	SH3PXD2B
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_906	chr1	77447057	77447264	+	224.0	intron	intron (ST6GALNAC5, intron 2 of 4)	-78668	MIR7156	MIR7156
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_7547	chr12	107879231	107879395	+	91.0	intron	intron (BTBD11, intron 1 of 16)	167116	BTBD11	BTBD11
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_14187	chr19	57587563	57587742	+	66.0	Intergenic	Intergenic	-43857	USP29	USP29
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_20828	chr3	162304424	162304686	+	425.0	Intergenic	Intergenic	716534	LINC01192	LINC01192
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_27469	chr7	7232725	7232843	+	49.0	intron	intron (C1GALT1, intron 1 of 3)	10538	C1GALT1	C1GALT1
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_645	chr1	74992588	74992954	+	28.0	intron	intron (TNNI3K, intron 23 of 24)	-50343	ERICH3-AS1	ERICH3-AS1
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_7286	chr14	68936127	68936438	+	554.0	intron	intron (RAD51B, intron 10 of 10)	324349	ZFP36L1	ZFP36L1
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_13927	chr21	24764622	24764766	+	35.0	Intergenic	Intergenic	-7538	D21S2088E	D21S2088E
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_20567	chr6	88161614	88161768	+	47.0	intron	intron (C6orf165, intron 11 of 12)	-20952	SLC35A1	SLC35A1
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_1286	chr1	120336644	120336819	+	74.0	TTS	TTS (REG4)	17472	REG4	REG4
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_7927	chr14	72962459	72962701	+	360.0	intron	intron (RGS6, intron 13 of 16)	-20948	MIR7843	MIR7843
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_14567	chr20	3613344	3613476	+	77.0	intron	intron (ATRN, intron 25 of 28)	30636	GFRA4	GFRA4
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_21208	chr5	172521181	172521397	+	79.0	intron	intron (CREBRF, intron 4 of 8)	37934	CREBRF	CREBRF
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_27849	chrY	59019771	59019943	+	206.0	Intergenic	Intergenic	-80546	SPRY3	SPRY3
